,date,instrument,avg_volume
57,2023-09-06,18800_PE,72663.0
58,2023-09-07,18800_PE,50904.0
59,2023-09-01,18900_CE,389.0
60,2023-09-04,18900_CE,202.0
61,2023-09-05,18900_CE,320.0
62,2023-09-06,18900_CE,270.0
63,2023-09-07,18900_CE,565.0
64,2023-09-01,18900_PE,82412.0
65,2023-09-04,18900_PE,74551.0
66,2023-09-05,18900_PE,56963.0
67,2023-09-06,18900_PE,61868.0
68,2023-09-07,18900_PE,67668.0
69,2023-09-01,19000_CE,4549.0
70,2023-09-04,19000_CE,1573.0
71,2023-09-05,19000_CE,1190.0
72,2023-09-06,19000_CE,1065.0
73,2023-09-07,19000_CE,1746.0
74,2023-09-01,19000_PE,138453.0
75,2023-09-04,19000_PE,114830.0
76,2023-09-05,19000_PE,87633.0
77,2023-09-06,19000_PE,103997.0
78,2023-09-07,19000_PE,167947.0
79,2023-09-01,19100_CE,10979.0
80,2023-09-04,19100_CE,1335.0
81,2023-09-05,19100_CE,904.0
82,2023-09-06,19100_CE,509.0
83,2023-09-07,19100_CE,1867.0
84,2023-09-01,19100_PE,159792.0
85,2023-09-04,19100_PE,98065.0
86,2023-09-05,19100_PE,86802.0
87,2023-09-06,19100_PE,94422.0
88,2023-09-07,19100_PE,152203.0
89,2023-09-01,19200_CE,63081.0
90,2023-09-04,19200_CE,7838.0
91,2023-09-05,19200_CE,1938.0
92,2023-09-06,19200_CE,1546.0
93,2023-09-07,19200_CE,1513.0
94,2023-09-01,19200_PE,277105.0
95,2023-09-04,19200_PE,151188.0
96,2023-09-05,19200_PE,94311.0
97,2023-09-06,19200_PE,157943.0
98,2023-09-07,19200_PE,231356.0
99,2023-09-01,19300_CE,315694.0
100,2023-09-04,19300_CE,46231.0
101,2023-09-05,19300_CE,15795.0
102,2023-09-06,19300_CE,18459.0
103,2023-09-07,19300_CE,12158.0
104,2023-09-01,19300_PE,492278.0
105,2023-09-04,19300_PE,235830.0
106,2023-09-05,19300_PE,138580.0
107,2023-09-06,19300_PE,225936.0
108,2023-09-07,19300_PE,399257.0
109,2023-09-01,19400_CE,409706.0
110,2023-09-04,19400_CE,205587.0
111,2023-09-05,19400_CE,75442.0
112,2023-09-06,19400_CE,100055.0
113,2023-09-07,19400_CE,59629.0
114,2023-09-01,19400_PE,318399.0
115,2023-09-04,19400_PE,369095.0
116,2023-09-05,19400_PE,248699.0
117,2023-09-06,19400_PE,443615.0
118,2023-09-07,19400_PE,867223.0
119,2023-09-01,19500_CE,308637.0
120,2023-09-04,19500_CE,704045.0
121,2023-09-05,19500_CE,387192.0
122,2023-09-06,19500_CE,648879.0
123,2023-09-07,19500_CE,450560.0
124,2023-09-01,19500_PE,106109.0
125,2023-09-04,19500_PE,555291.0
126,2023-09-05,19500_PE,495642.0
127,2023-09-06,19500_PE,947027.0
128,2023-09-07,19500_PE,2275762.0
129,2023-09-01,19600_CE,230977.0
130,2023-09-04,19600_CE,419939.0
131,2023-09-05,19600_CE,608458.0
132,2023-09-06,19600_CE,1020264.0
133,2023-09-07,19600_CE,3573973.0
134,2023-09-01,19600_PE,22870.0
135,2023-09-04,19600_PE,134602.0
136,2023-09-05,19600_PE,423799.0
137,2023-09-06,19600_PE,649017.0
138,2023-09-07,19600_PE,4411314.0
139,2023-09-01,19700_CE,197213.0
140,2023-09-04,19700_CE,262662.0
141,2023-09-05,19700_CE,289865.0
142,2023-09-06,19700_CE,523025.0
143,2023-09-07,19700_CE,4512050.0
144,2023-09-01,19700_PE,3579.0
145,2023-09-04,19700_PE,21144.0
146,2023-09-05,19700_PE,80404.0
147,2023-09-06,19700_PE,109764.0
148,2023-09-07,19700_PE,2641021.0
149,2023-09-01,19800_CE,176097.0
150,2023-09-04,19800_CE,143568.0
151,2023-09-05,19800_CE,138770.0
152,2023-09-06,19800_CE,279786.0
153,2023-09-07,19800_CE,1470193.0
154,2023-09-01,19800_PE,984.0
155,2023-09-04,19800_PE,3316.0
156,2023-09-05,19800_PE,9591.0
157,2023-09-06,19800_PE,11269.0
158,2023-09-07,19800_PE,213099.0
159,2023-09-01,19900_CE,93442.0
160,2023-09-04,19900_CE,69241.0
161,2023-09-05,19900_CE,66826.0
162,2023-09-06,19900_CE,119119.0
163,2023-09-07,19900_CE,408224.0
164,2023-09-01,19900_PE,232.0
165,2023-09-04,19900_PE,1000.0
166,2023-09-05,19900_PE,973.0
167,2023-09-06,19900_PE,4718.0
168,2023-09-07,19900_PE,16243.0
169,2023-09-01,20000_CE,68615.0
170,2023-09-04,20000_CE,73235.0
171,2023-09-05,20000_CE,65582.0
172,2023-09-06,20000_CE,131427.0
173,2023-09-07,20000_CE,242405.0
174,2023-09-01,20000_PE,386.0
175,2023-09-04,20000_PE,600.0
176,2023-09-05,20000_PE,739.0
177,2023-09-06,20000_PE,784.0
178,2023-09-07,20000_PE,2478.0
179,2023-09-01,20100_CE,27839.0
180,2023-09-04,20100_CE,19978.0
181,2023-09-05,20100_CE,23732.0
182,2023-09-06,20100_CE,68245.0
183,2023-09-07,20100_CE,69951.0
184,2023-09-01,20100_PE,117.0
185,2023-09-04,20100_PE,136.0
186,2023-09-05,20100_PE,199.0
187,2023-09-06,20100_PE,356.0
188,2023-09-07,20100_PE,784.0
189,2023-09-01,20200_CE,24531.0
190,2023-09-04,20200_CE,20271.0
191,2023-09-05,20200_CE,18593.0
192,2023-09-06,20200_CE,59298.0
193,2023-09-07,20200_CE,35818.0
194,2023-09-01,20200_PE,135.0
195,2023-09-04,20200_PE,89.0
196,2023-09-05,20200_PE,390.0
197,2023-09-06,20200_PE,175.0
198,2023-09-07,20200_PE,172.0
199,2023-09-08,18700_CE,75.0
200,2023-09-11,18700_CE,100.0
201,2023-09-12,18700_CE,85.0
202,2023-09-13,18700_CE,288.0
203,2023-09-14,18700_CE,83.0
204,2023-09-08,18700_PE,53095.0
205,2023-09-11,18700_PE,22711.0
206,2023-09-12,18700_PE,19138.0
207,2023-09-13,18700_PE,29736.0
208,2023-09-14,18700_PE,8804.0
209,2023-09-08,18800_CE,88.0
210,2023-09-11,18800_CE,190.0
211,2023-09-12,18800_CE,200.0
212,2023-09-13,18800_CE,147.0
213,2023-09-14,18800_CE,108.0
214,2023-09-08,18800_PE,35752.0
215,2023-09-11,18800_PE,24873.0
216,2023-09-12,18800_PE,32003.0
217,2023-09-13,18800_PE,44098.0
218,2023-09-14,18800_PE,12642.0
219,2023-09-08,18900_CE,124.0
220,2023-09-11,18900_CE,600.0
221,2023-09-12,18900_CE,61.0
222,2023-09-13,18900_CE,340.0
223,2023-09-14,18900_CE,256.0
224,2023-09-08,18900_PE,47805.0
225,2023-09-11,18900_PE,30793.0
226,2023-09-12,18900_PE,44158.0
227,2023-09-13,18900_PE,48381.0
228,2023-09-14,18900_PE,21044.0
229,2023-09-08,19000_CE,761.0
230,2023-09-11,19000_CE,352.0
231,2023-09-12,19000_CE,228.0
232,2023-09-13,19000_CE,201.0
233,2023-09-14,19000_CE,911.0
234,2023-09-08,19000_PE,91730.0
235,2023-09-11,19000_PE,86582.0
236,2023-09-12,19000_PE,95510.0
237,2023-09-13,19000_PE,136357.0
238,2023-09-14,19000_PE,96768.0
239,2023-09-08,19100_CE,86.0
240,2023-09-11,19100_CE,198.0
241,2023-09-12,19100_CE,226.0
242,2023-09-13,19100_CE,467.0
243,2023-09-14,19100_CE,205.0
244,2023-09-08,19100_PE,58830.0
245,2023-09-11,19100_PE,61858.0
246,2023-09-12,19100_PE,72187.0
247,2023-09-13,19100_PE,104128.0
248,2023-09-14,19100_PE,49772.0
249,2023-09-08,19200_CE,432.0
250,2023-09-11,19200_CE,220.0
251,2023-09-12,19200_CE,154.0
252,2023-09-13,19200_CE,322.0
253,2023-09-14,19200_CE,286.0
254,2023-09-08,19200_PE,83689.0
255,2023-09-11,19200_PE,68998.0
256,2023-09-12,19200_PE,63049.0
257,2023-09-13,19200_PE,100412.0
258,2023-09-14,19200_PE,37633.0
259,2023-09-08,19300_CE,1538.0
260,2023-09-11,19300_CE,638.0
261,2023-09-12,19300_CE,682.0
262,2023-09-13,19300_CE,393.0
263,2023-09-14,19300_CE,454.0
264,2023-09-08,19300_PE,82866.0
265,2023-09-11,19300_PE,71147.0
266,2023-09-12,19300_PE,68161.0
267,2023-09-13,19300_PE,101141.0
268,2023-09-14,19300_PE,42837.0
269,2023-09-08,19400_CE,2113.0
270,2023-09-11,19400_CE,812.0
271,2023-09-12,19400_CE,314.0
272,2023-09-13,19400_CE,873.0
273,2023-09-14,19400_CE,390.0
274,2023-09-08,19400_PE,96491.0
275,2023-09-11,19400_PE,85072.0
276,2023-09-12,19400_PE,82786.0
277,2023-09-13,19400_PE,111702.0
278,2023-09-14,19400_PE,74819.0
279,2023-09-08,19500_CE,17866.0
280,2023-09-11,19500_CE,4168.0
281,2023-09-12,19500_CE,3717.0
