,date,instrument,avg_volume
320,2023-09-07,42700_CE,61.0
321,2023-09-08,42700_CE,15.0
322,2023-09-11,42700_CE,15.0
323,2023-09-13,42700_CE,45.0
324,2023-09-07,42700_PE,11519.0
325,2023-09-08,42700_PE,11520.0
326,2023-09-11,42700_PE,7817.0
327,2023-09-12,42700_PE,6469.0
328,2023-09-13,42700_PE,7689.0
329,2023-09-07,42800_CE,76.0
330,2023-09-08,42800_CE,54.0
331,2023-09-11,42800_CE,15.0
332,2023-09-13,42800_CE,353.0
333,2023-09-07,42800_PE,12473.0
334,2023-09-08,42800_PE,10690.0
335,2023-09-11,42800_PE,5551.0
336,2023-09-12,42800_PE,5115.0
337,2023-09-13,42800_PE,8902.0
338,2023-09-07,42900_CE,95.0
339,2023-09-08,42900_CE,15.0
340,2023-09-11,42900_CE,678.0
341,2023-09-12,42900_CE,15.0
342,2023-09-13,42900_CE,18.0
343,2023-09-07,42900_PE,10216.0
344,2023-09-08,42900_PE,11191.0
345,2023-09-11,42900_PE,5273.0
346,2023-09-12,42900_PE,9011.0
347,2023-09-13,42900_PE,12985.0
348,2023-09-07,43000_CE,295.0
349,2023-09-08,43000_CE,158.0
350,2023-09-11,43000_CE,142.0
351,2023-09-12,43000_CE,83.0
352,2023-09-13,43000_CE,87.0
353,2023-09-07,43000_PE,49228.0
354,2023-09-08,43000_PE,66892.0
355,2023-09-11,43000_PE,44593.0
356,2023-09-12,43000_PE,59918.0
357,2023-09-13,43000_PE,129814.0
358,2023-09-07,43100_CE,50.0
359,2023-09-08,43100_CE,80.0
360,2023-09-11,43100_CE,21.0
361,2023-09-13,43100_CE,41.0
362,2023-09-07,43100_PE,13766.0
363,2023-09-08,43100_PE,11954.0
364,2023-09-11,43100_PE,8056.0
365,2023-09-12,43100_PE,11287.0
366,2023-09-13,43100_PE,25864.0
367,2023-09-07,43200_CE,25.0
368,2023-09-08,43200_CE,116.0
369,2023-09-11,43200_CE,19.0
370,2023-09-12,43200_CE,30.0
371,2023-09-13,43200_CE,33.0
372,2023-09-07,43200_PE,18271.0
373,2023-09-08,43200_PE,16204.0
374,2023-09-11,43200_PE,7585.0
375,2023-09-12,43200_PE,8078.0
376,2023-09-13,43200_PE,33156.0
377,2023-09-07,43300_CE,56.0
378,2023-09-08,43300_CE,40.0
379,2023-09-11,43300_CE,32.0
380,2023-09-12,43300_CE,850.0
381,2023-09-13,43300_CE,58.0
382,2023-09-07,43300_PE,23324.0
383,2023-09-08,43300_PE,18447.0
384,2023-09-11,43300_PE,10615.0
385,2023-09-12,43300_PE,8963.0
386,2023-09-13,43300_PE,30051.0
387,2023-09-07,43400_CE,82.0
388,2023-09-08,43400_CE,27.0
389,2023-09-11,43400_CE,28.0
390,2023-09-12,43400_CE,186.0
391,2023-09-13,43400_CE,42.0
392,2023-09-07,43400_PE,20961.0
393,2023-09-08,43400_PE,16978.0
394,2023-09-11,43400_PE,8172.0
395,2023-09-12,43400_PE,10047.0
396,2023-09-13,43400_PE,32627.0
397,2023-09-07,43500_CE,607.0
398,2023-09-08,43500_CE,279.0
399,2023-09-11,43500_CE,98.0
400,2023-09-12,43500_CE,76.0
401,2023-09-13,43500_CE,247.0
402,2023-09-07,43500_PE,44211.0
403,2023-09-08,43500_PE,50760.0
404,2023-09-11,43500_PE,40741.0
405,2023-09-12,43500_PE,58712.0
406,2023-09-13,43500_PE,152233.0
407,2023-09-07,43600_CE,214.0
