day,symbol,strategy,signal_id,trigger,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,open_type,tpo,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,five_min_ex_first_hr_trend,fifteen_min_ex_first_hr_trend,hurst_exp_15,hurst_exp_5,ret_trend,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,pattern_time,pattern_price,pattern_location,lw_total_energy_pyr,lw_total_energy_ht,lw_static_ratio,lw_dynamic_ratio,lw_d_en_ht,lw_s_en_ht,lw_d_en_pyr,lw_s_en_pyr,entry_time_read
2021-09-24,NIFTY,STATE_SELL_1_360,SIG_1,1,1632455160,1632476760,17911.35,17859.7,51.65,0.0,Friday,1,17513,18081,360,1,0,0,1632455160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,11.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1632455160],[17911.35],0,0,0,0,0,0,0,0,0,2021-09-24 09:16:00
2021-09-23,NIFTY,STATE_SELL_1_360,SIG_1,1,1632368760,1632390360,17652.35,17835.8,-183.45,-0.0,Thursday,1,17355,17918,360,1,0,0,1632368760,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-47.650000000001455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1632368760],[17652.35],0,0,0,0,0,0,0,0,0,2021-09-23 09:16:00
2021-09-22,NIFTY,STATE_SELL_1_360,SIG_1,1,1632282360,1632303960,17581.4,17536.7,44.7,0.0,Wednesday,1,17197,17755,360,1,0,0,1632282360,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-18.599999999998545,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1632282360],[17581.4],0,0,0,0,0,0,0,0,0,2021-09-22 09:16:00
2021-09-21,NIFTY,STATE_SELL_1_360,SIG_1,1,1632195960,1632217560,17454.0,17553.75,-99.75,-0.0,Tuesday,1,16993,17676,360,1,0,0,1632195960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1632195960],[17454.0],0,0,0,0,0,0,0,0,0,2021-09-21 09:16:00
2021-09-17,NIFTY,STATE_SELL_1_360,SIG_1,1,1631850360,1631871960,17708.3,17589.8,118.5,0.0,Friday,1,17350,17913,360,1,0,0,1631850360,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,8.299999999999272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[1631850360],[17708.3],0,0,0,0,0,0,0,0,0,2021-09-17 09:16:00
2021-09-16,NIFTY,STATE_SELL_1_360,SIG_1,1,1631763960,1631785560,17563.3,17620.55,-57.25,-0.0,Thursday,1,17242,17800,360,1,0,0,1631763960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-36.70000000000073,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1631763960],[17563.3],0,0,0,0,0,0,0,0,0,2021-09-16 09:16:00
2021-09-14,NIFTY,STATE_SELL_1_360,SIG_1,1,1631591160,1631612760,17395.7,17376.0,19.7,0.0,Tuesday,1,17123,17678,360,1,0,0,1631591160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-4.299999999999272,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1631591160],[17395.7],0,0,0,0,0,0,0,0,0,2021-09-14 09:16:00
2021-09-13,NIFTY,STATE_SELL_1_360,SIG_1,1,1631504760,1631526360,17322.75,17355.55,-32.8,-0.0,Monday,1,17037,17782,360,1,0,0,1631504760,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,22.75,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,[1631504760],[17322.75],0,0,0,0,0,0,0,0,0,2021-09-13 09:16:00
2021-09-07,NIFTY,STATE_SELL_1_360,SIG_1,1,1630986360,1631007960,17414.25,17360.8,53.45,0.0,Tuesday,1,17076,17823,360,1,0,0,1630986360,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,14.25,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[1630986360],[17414.25],0,0,0,0,0,0,0,0,0,2021-09-07 09:16:00
2021-09-06,NIFTY,STATE_SELL_1_360,SIG_1,1,1630899960,1630921560,17406.65,17379.8,26.85,0.0,Monday,1,17054,17607,360,1,0,0,1630899960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,6.650000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1630899960],[17406.65],0,0,0,0,0,0,0,0,0,2021-09-06 09:16:00
