day,symbol,strategy,trade_id,leg,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,spot_stop_loss_rolling,instr_target,instr_stop_loss,duration,quantity,exit_type,spot_entry_price,spot_exit_price,trigger_time,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,call_volume_scale,put_volume_scale,sum_call_volume,sum_put_volume,call_volume_scale_day,put_volume_scale_day,pcr_minus_1,regime,market_entrant,call_entrant,put_entrant,transition,roll_near_vol_pcr,roll_far_vol_pcr,roll_vol_spread_pcr,put_pos_price_pct,call_pos_price_pct,call_vol_spread,put_vol_spread,total_vol_spread,total_profit,call_profit,put_profit,near_put_oi_share,far_put_oi_share,near_call_oi_share,far_call_oi_share,put_oi_spread,call_oi_spread,entry_time_read,exit_time_read
13/12/23,NIFTY_20800_PE,DayBeforeExpiry,SIG_1,1,-1,1702460700,1702525500,11.95,1.15,10.8,0,Wednesday,1,20800_PE,200,LONG,,,,1.195,35.85,90000000,1,IT,20927.8,21094.05,1702460700,,13,20927.8,0.5,0.11,0.02,0.01,0.04,0.039,-0.3462,0.95,0.99,0.48,0.5339,-0.0539,0.71,0.36,1.0318,0.2647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.19,2.93,2.48,9305950,7861200,2.72,2.44,-0.19,neutral,0.004,0.003,0.001,0,0.96,1.1,-0.09,0.470588235,0.176470588,0.36,0.75,0.54,0.3,0.38,-0.12,0.154,0.284,0.194,0.336,-0.129,-0.142,13/12/23 15:15,14/12/23 9:15
20/12/23,NIFTY_21000_PE,DayBeforeExpiry,SIG_1,1,-1,1703065500,1703130600,30.3,58.2,-27.9,0,Wednesday,1,21000_PE,200,LONG,,,,3.03,90.9,90000000,1,EC,21140.1,21065.05,1703065500,,13,21140.1,0.14,0.06,-0.01,-0.02,0.02,0.0633,-0.4401,0.93,0.99,0.5,0.5699,-0.0699,0.77,0.37,0.5616,0.0881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44,3.61,3.84,11463800,12187850,3.21,2.8,-0.44,neutral,0.004,0.002,0.002,0,2.33,0.64,0.01,0.526315789,0.210526316,1.06,0.64,1.07,-0.11,0.64,-0.8,0.117,0.176,0.051,0.575,-0.058,-0.524,20/12/23 15:15,21/12/23 9:20
27/12/23,NIFTY_21600_PE,DayBeforeExpiry,SIG_1,1,-1,1703670300,1703735400,34.1,14.9,19.2,0,Wednesday,1,21600_PE,200,LONG,,,,3.41,102.3,90000000,1,EC,21666.75,21735.4,1703670300,,13,21666.75,0.18,0.19,0.08,0.06,0.14,0.0843,-0.4951,0.91,0.98,0.46,0.5374,-0.0774,0.73,0.35,0.5558,0.0457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.56,2.92,1.88,12809250,8266900,3.88,2.54,0.56,both_covering,-0.021,-0.012,-0.009,0.003,0.46,0.96,3.32,0.473684211,0.111111111,0.18,1.03,1.03,-0.13,-1.23,0.76,0.079,0.527,0.122,0.168,-0.448,-0.046,27/12/23 15:15,28/12/23 9:20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.423,0.547,,0.524518384,-0.4685228,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.589,0.382,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,0.608,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272,0.638,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.408,0.554,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.463,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.558,0.391,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478,0.508,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.615,0.314,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.742,0.17,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.438,0.53,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.293,0.626,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.606,0.29,,,,
