day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,instr_target,instr_stop_loss,duration,quantity,exit_type,trigger_time,closed,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,pattern_price,pattern_time,pattern_location,pattern_height,strength,entry_time_read
2021-11-29,NIFTY,dt_sell,SIG_2,2,-1,1638170460,1638173160.0,17116.65,17115.7,0.95,0.0,Monday,2,SPOT,0,SHORT,17048.750000000004,17185.64,13693.320000000002,25674.975000000002,45.0,1,TC,1638170460,True,BELOW_VA,8,17116.65,0.36,0.39,0.18,0.16,0.27,0.039,-0.3788,0.95,0.99,0.47,0.5317,-0.0617,0.73,0.33,0.5696,0.0587,16.650000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.06,0.05,0.89,-1,0.01,0.31,0.08,0.61,0.02,1,-0.0007,-2.85,0,1,0,0,0,91613.02249999956,763.441854166663,28.5366076781697,0.18,0.19,12.32824118084604,12.186932533718691,142.4864349497889,139.23874179507285,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-29 12:51:00
2021-11-29,NIFTY,dt_sell,SIG_3,1,-1,1638175200,1638175260.0,17121.5,17112.5,9.0,0.0,Monday,1,SPOT,0,SHORT,17113.549999999996,17163.050000000003,15409.35,25682.25,30.0,1,ST,1638175200,True,BELOW_VA,10,17121.5,0.31,0.39,0.14,0.11,0.23,0.0742,-0.5096,0.93,0.98,0.44,0.5209,-0.0809,0.74,0.31,0.7,0.1025,21.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.06,0.05,0.89,-1,0.01,0.31,0.08,0.61,0.02,1,-0.0007,-2.85,0,1,0,0,0,100431.34749999939,836.9278958333283,29.878471997223745,0.23,0.16,12.049932531504455,14.325769038464198,136.12581938794628,192.40092988445573,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[17067.65, 17153.3, 17133.35, 17153.15]","[1638171060, 1638174060, 1638174540, 1638174900, 1638175200]",97.28813559322033,19.80000000000291,0.0,2021-11-29 14:10:00
2021-11-29,NIFTY,dt_sell,SIG_3,2,-1,1638175200,1638175800.0,17121.5,17086.4,35.1,0.0,Monday,2,SPOT,0,SHORT,17093.749999999993,17170.970000000005,13697.2,25682.25,45.0,1,ST,1638175200,True,BELOW_VA,10,17121.5,0.31,0.39,0.14,0.11,0.23,0.0742,-0.5096,0.93,0.98,0.44,0.5209,-0.0809,0.74,0.31,0.7,0.1025,21.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.06,0.05,0.89,-1,0.01,0.31,0.08,0.61,0.02,1,-0.0007,-2.85,0,1,0,0,0,100431.34749999939,836.9278958333283,29.878471997223745,0.23,0.16,12.049932531504455,14.325769038464198,136.12581938794628,192.40092988445573,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-29 14:10:00
2021-11-26,NIFTY,dt_sell,SIG_1,1,-1,1637900400,1637900520.0,17302.65,17273.25,29.4,0.0,Friday,1,SPOT,0,SHORT,17286.649999999998,17346.525,15572.385000000002,25953.975000000002,30.0,1,ST,1637900400,True,GAP_DOWN,2,17302.65,0.0,-0.05,0.0,-0.04,-0.08,,,,,,,,,,,,2.650000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.31,0.08,0.61,1,0.99,0.02,0.2,0.78,0.85,-1,0.0,-0.1,0,1,1,0,1,3403.538750000104,28.362822916667533,5.500334333272724,0.0,0.16,2.215031978700717,0.0,4.599718750000138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[17282.55, 17340.0, 17310.6, 17334.55]","[1637898840, 1637899440, 1637899740, 1637900040, 1637900400]",100.0,23.950000000000728,0.0,2021-11-26 09:50:00
2021-11-26,NIFTY,dt_sell,SIG_1,2,-1,1637900400,1637900580.0,17302.65,17258.9,43.75,0.0,Friday,2,SPOT,0,SHORT,17262.699999999997,17356.105,13842.120000000003,25953.975000000002,45.0,1,ST,1637900400,True,GAP_DOWN,2,17302.65,0.0,-0.05,0.0,-0.04,-0.08,,,,,,,,,,,,2.650000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.31,0.08,0.61,1,0.99,0.02,0.2,0.78,0.85,-1,0.0,-0.1,0,1,1,0,1,3403.538750000104,28.362822916667533,5.500334333272724,0.0,0.16,2.215031978700717,0.0,4.599718750000138,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-26 09:50:00
2021-11-26,NIFTY,dt_sell,SIG_2,1,-1,1637907960,1637908020.0,17173.15,17163.05,10.1,0.0,Friday,1,SPOT,0,SHORT,17166.95,17210.199999999997,15455.835000000001,25759.725000000002,30.0,1,ST,1637907960,True,GAP_DOWN,6,17173.15,0.0,-0.09,-0.06,-0.04,-0.11,0.1594,-0.6267,0.7,0.82,0.54,0.615,-0.075,0.75,0.48,1.826,0.4657,-26.849999999998545,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.31,0.08,0.61,1,0.99,0.02,0.2,0.78,0.85,-1,0.0,-0.1,0,1,1,0,1,28447.76125000012,237.06467708333432,15.901854888310671,0.1,-0.37,-9.680848232437796,4.957921359313233,-87.86139609327562,23.044672692313483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[17099.85, 17204.15, 17184.25, 17201.55]","[1637904600, 1637907360, 1637907480, 1637907840, 1637907960]",58.38509316770186,17.299999999999272,0.0,2021-11-26 11:56:00
2021-11-26,NIFTY,dt_sell,SIG_2,2,-1,1637907960,1637908800.0,17173.15,17148.65,24.5,0.0,Friday,2,SPOT,0,SHORT,17149.65,17217.12,13738.520000000002,25759.725000000002,45.0,1,ST,1637907960,True,GAP_DOWN,6,17173.15,0.0,-0.09,-0.06,-0.04,-0.11,0.1594,-0.6267,0.7,0.82,0.54,0.615,-0.075,0.75,0.48,1.826,0.4657,-26.849999999998545,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.31,0.08,0.61,1,0.99,0.02,0.2,0.78,0.85,-1,0.0,-0.1,0,1,1,0,1,28447.76125000012,237.06467708333432,15.901854888310671,0.1,-0.37,-9.680848232437796,4.957921359313233,-87.86139609327562,23.044672692313483,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-26 11:56:00
2021-11-26,NIFTY,dt_sell,SIG_3,1,-1,1637912580,1637913060.0,17173.8,17157.65,16.15,0.0,Friday,1,SPOT,0,SHORT,17159.75,17214.525,15456.42,25760.699999999997,30.0,1,ST,1637912580,True,GAP_DOWN,8,17173.8,0.0,-0.09,-0.05,-0.05,-0.06,0.0494,-0.3303,0.92,0.98,0.52,0.5661,-0.0461,0.71,0.42,1.6139,0.4221,-26.200000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.31,0.08,0.61,1,0.99,0.02,0.2,0.78,0.85,-1,0.0,-0.1,0,1,1,0,1,35485.94124999985,295.71617708333207,17.760365674413563,0.23,-0.3,-9.806499340169434,8.486646200751158,-90.1569649769471,67.52171600317882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[17123.5, 17197.85, 17178.8, 17205.0]","[1637909760, 1637911500, 1637911740, 1637911980, 1637912580]",71.84873949579831,19.049999999999272,0.0,2021-11-26 13:13:00
2021-11-26,NIFTY,dt_sell,SIG_3,2,-1,1637912580,1637913960.0,17173.8,17139.7,34.1,0.0,Friday,2,SPOT,0,SHORT,17140.7,17222.145,13739.04,25760.699999999997,45.0,1,ST,1637912580,True,GAP_DOWN,8,17173.8,0.0,-0.09,-0.05,-0.05,-0.06,0.0494,-0.3303,0.92,0.98,0.52,0.5661,-0.0461,0.71,0.42,1.6139,0.4221,-26.200000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.31,0.08,0.61,1,0.99,0.02,0.2,0.78,0.85,-1,0.0,-0.1,0,1,1,0,1,35485.94124999985,295.71617708333207,17.760365674413563,0.23,-0.3,-9.806499340169434,8.486646200751158,-90.1569649769471,67.52171600317882,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-26 13:13:00
2021-11-25,NIFTY,dt_sell,SIG_1,1,-1,1637813820,1637814720.0,17394.45,17357.7,36.75,-0.0,Thursday,1,SPOT,0,SHORT,17365.2,17440.875,15655.005000000001,26091.675000000003,30.0,1,ST,1637813820,True,BELOW_VA,2,17394.45,0.0,-0.02,0.0,0.0,-0.08,,,,,,,,,,,,-5.549999999999272,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.02,0.2,0.78,-1,0.81,0.19,0.17,0.64,0.59,1,0.0,-0.21,1,0,1,1,1,5325.117500000017,44.3759791666668,6.879998385012741,0.05,-0.01,-0.5825498874334124,1.6060192105582545,-0.31815409813938894,2.4180915981395237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[17377.1, 17425.7, 17395.45, 17425.75]","[1637812740, 1637812920, 1637813160, 1637813580, 1637813820]",78.125,30.25,0.0,2021-11-25 09:47:00
2021-11-25,NIFTY,dt_sell,SIG_1,2,-1,1637813820,1637816520.0,17394.45,17402.4,-7.95,-0.0,Thursday,2,SPOT,0,SHORT,17334.95,17452.975,13915.560000000001,26091.675000000003,45.0,1,TC,1637813820,True,BELOW_VA,2,17394.45,0.0,-0.02,0.0,0.0,-0.08,,,,,,,,,,,,-5.549999999999272,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.02,0.2,0.78,-1,0.81,0.19,0.17,0.64,0.59,1,0.0,-0.21,1,0,1,1,1,5325.117500000017,44.3759791666668,6.879998385012741,0.05,-0.01,-0.5825498874334124,1.6060192105582545,-0.31815409813938894,2.4180915981395237,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-25 09:47:00
2021-11-24,NIFTY,dt_sell,SIG_1,1,-1,1637728680,1637730480.0,17517.55,17559.55,-42.0,0.0,Wednesday,1,SPOT,0,SHORT,17507.000000000004,17572.375,15765.795,26276.324999999997,30.0,1,TC,1637728680,True,ABOVE_VA,2,17517.55,0.0,0.05,0.0,0.02,0.12,,,,,,,,,,,,17.549999999999272,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.19,0.17,0.64,1,0.81,0.3,0.02,0.68,0.52,-1,0.0,0.4,0,1,1,0,1,4810.596250000111,40.088302083334256,6.539178507699307,0.0,0.41,4.182010414993141,0.0,16.39613541666666,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"[17492.25, 17569.65, 17533.15, 17559.3]","[1637725800, 1637726580, 1637727420, 1637727780, 1637728680]",100.0,26.149999999997817,0.0,2021-11-24 10:08:00
2021-11-24,NIFTY,dt_sell,SIG_1,2,-1,1637728680,1637731380.0,17517.55,17558.05,-40.5,0.0,Wednesday,2,SPOT,0,SHORT,17480.850000000006,17582.835,14014.04,26276.324999999997,45.0,1,TC,1637728680,True,ABOVE_VA,2,17517.55,0.0,0.05,0.0,0.02,0.12,,,,,,,,,,,,17.549999999999272,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.19,0.17,0.64,1,0.81,0.3,0.02,0.68,0.52,-1,0.0,0.4,0,1,1,0,1,4810.596250000111,40.088302083334256,6.539178507699307,0.0,0.41,4.182010414993141,0.0,16.39613541666666,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-24 10:08:00
