day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,instr_target,instr_stop_loss,duration,quantity,exit_type,trigger_time,closed,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,entry_time_read
2022-09-21,NIFTY_18200_CE,WED_OPTION_PRICE_DROP,SIG_8,1,1,1663734240,1663735500,4.75,5.6,0.85,0.0,Wednesday,1,18200_CE,0,LONG,,,5.2250000000000005,2.375,60,1,IT,1663734240,True,BELOW_VA,2,17768.4,0.0,-0.18,0.0,-0.16,-0.25,-31.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.15,0.73,0.12,1,0.0,0.47,0.15,0.38,0.0,1,0.0059,0.94,0,0,0,0,0,5704.818750000145,47.54015625000121,7.121060314307224,0.0,-0.43,-4.651225644924172,0.0,-20.281781250000265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,2022-09-21 09:54:00
2022-09-21,NIFTY_18000_CE,WED_OPTION_PRICE_DROP,SIG_9,1,1,1663734240,1663735260,26.75,29.6,2.85,0.0,Wednesday,1,18000_CE,0,LONG,,,29.425,13.375,60,1,IT,1663734240,True,BELOW_VA,2,17768.4,0.0,-0.18,0.0,-0.16,-0.25,-31.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.15,0.73,0.12,1,0.0,0.47,0.15,0.38,0.0,1,0.0059,0.94,0,0,0,0,0,5704.818750000145,47.54015625000121,7.121060314307224,0.0,-0.43,-4.651225644924172,0.0,-20.281781250000265,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-21 09:54:00
2022-09-21,NIFTY_17900_CE,WED_OPTION_PRICE_DROP,SIG_10,1,1,1663734240,1663735260,52.95,58.65,5.7,0.0,Wednesday,1,17900_CE,0,LONG,,,58.245000000000005,26.475,60,1,IT,1663734240,True,BELOW_VA,2,17768.4,0.0,-0.18,0.0,-0.16,-0.25,-31.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.15,0.73,0.12,1,0.0,0.47,0.15,0.38,0.0,1,0.0059,0.94,0,0,0,0,0,5704.818750000145,47.54015625000121,7.121060314307224,0.0,-0.43,-4.651225644924172,0.0,-20.281781250000265,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-21 09:54:00
2022-09-21,NIFTY_18200_CE,WED_OPTION_PRICE_DROP,SIG_11,1,1,1663734420,1663735500,4.85,5.6,0.75,0.0,Wednesday,1,18200_CE,0,LONG,,,5.335,2.425,60,1,IT,1663734420,True,BELOW_VA,2,17771.5,0.0,-0.23,0.0,-0.19,-0.33,-28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.15,0.73,0.12,1,0.0,0.47,0.15,0.38,0.0,1,0.0059,0.94,0,0,0,0,0,5704.818750000145,47.54015625000121,7.121060314307224,0.0,-0.43,-4.651225644924172,0.0,-20.281781250000265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,2022-09-21 09:57:00
2022-09-21,NIFTY_18000_CE,WED_OPTION_PRICE_DROP,SIG_12,1,1,1663734420,1663735440,27.4,30.6,3.2,0.0,Wednesday,1,18000_CE,0,LONG,,,30.14,13.7,60,1,IT,1663734420,True,BELOW_VA,2,17771.5,0.0,-0.23,0.0,-0.19,-0.33,-28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.15,0.73,0.12,1,0.0,0.47,0.15,0.38,0.0,1,0.0059,0.94,0,0,0,0,0,5704.818750000145,47.54015625000121,7.121060314307224,0.0,-0.43,-4.651225644924172,0.0,-20.281781250000265,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-21 09:57:00
2022-09-21,NIFTY_18200_CE,WED_OPTION_PRICE_DROP,SIG_13,1,1,1663734540,1663735500,4.85,5.6,0.75,0.0,Wednesday,1,18200_CE,0,LONG,,,5.335,2.425,60,1,IT,1663734540,True,BELOW_VA,2,17770.25,0.0,-0.23,0.0,-0.19,-0.33,-29.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.15,0.73,0.12,1,0.0,0.47,0.15,0.38,0.0,1,0.0059,0.94,0,0,0,0,0,5704.818750000145,47.54015625000121,7.121060314307224,0.0,-0.43,-4.651225644924172,0.0,-20.281781250000265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,2022-09-21 09:59:00
2022-09-21,NIFTY_18000_CE,WED_OPTION_PRICE_DROP,SIG_14,1,1,1663734540,1663735440,27.45,30.6,3.15,0.0,Wednesday,1,18000_CE,0,LONG,,,30.195,13.725,60,1,IT,1663734540,True,BELOW_VA,2,17770.25,0.0,-0.23,0.0,-0.19,-0.33,-29.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.15,0.73,0.12,1,0.0,0.47,0.15,0.38,0.0,1,0.0059,0.94,0,0,0,0,0,5704.818750000145,47.54015625000121,7.121060314307224,0.0,-0.43,-4.651225644924172,0.0,-20.281781250000265,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-21 09:59:00
2022-09-21,NIFTY_17900_CE,WED_OPTION_PRICE_DROP,SIG_15,1,1,1663734600,1663735200,49.85,56.5,6.65,0.0,Wednesday,1,17900_CE,0,LONG,,,54.83500000000001,24.925,60,1,IT,1663734600,True,BELOW_VA,2,17755.55,0.0,-0.23,0.0,-0.19,-0.33,-44.45000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.15,0.73,0.12,1,0.0,0.47,0.15,0.38,0.0,1,0.0059,0.94,0,0,0,0,0,5704.818750000145,47.54015625000121,7.121060314307224,0.0,-0.43,-4.651225644924172,0.0,-20.281781250000265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,2022-09-21 10:00:00
2022-09-21,NIFTY_18100_CE,WED_OPTION_PRICE_DROP,SIG_16,1,1,1663734660,1663735140,10.3,11.7,1.4,0.0,Wednesday,1,18100_CE,0,LONG,,,11.330000000000002,5.15,60,1,IT,1663734660,True,BELOW_VA,2,17745.4,0.0,-0.3,0.0,-0.28,-0.38,45.400000000001455,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.15,0.73,0.12,1,0.0,0.47,0.15,0.38,0.0,1,0.0059,0.94,0,0,0,0,0,5704.818750000145,47.54015625000121,7.121060314307224,0.0,-0.43,-4.651225644924172,0.0,-20.281781250000265,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,,,,,,,,,,,,2022-09-21 10:01:00
2022-09-21,NIFTY_18000_CE,WED_OPTION_PRICE_DROP,SIG_17,1,1,1663734660,1663735080,23.55,26.0,2.45,-0.0,Wednesday,1,18000_CE,0,LONG,,,25.905,11.775,60,1,IT,1663734660,True,BELOW_VA,2,17745.4,0.0,-0.3,0.0,-0.28,-0.38,45.400000000001455,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.15,0.73,0.12,1,0.0,0.47,0.15,0.38,0.0,1,0.0059,0.94,0,0,0,0,0,5704.818750000145,47.54015625000121,7.121060314307224,0.0,-0.43,-4.651225644924172,0.0,-20.281781250000265,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-21 10:01:00
2022-09-21,NIFTY_18100_CE,WED_OPTION_PRICE_DROP,SIG_18,1,1,1663734900,1663735200,10.7,12.25,1.55,0.0,Wednesday,1,18100_CE,0,LONG,,,11.77,5.35,60,1,IT,1663734900,True,BELOW_VA,2,17745.55,0.0,-0.33,0.0,-0.27,-0.5,45.54999999999927,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.15,0.73,0.12,1,0.0,0.47,0.15,0.38,0.0,1,0.0059,0.94,0,0,0,0,0,6541.098750000056,54.509156250000466,7.625162293354844,0.01,-0.49,-5.339186681297557,0.748722633726451,-26.725232266636137,0.5255489833633812,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,,,,,,,,,,,,2022-09-21 10:05:00
2022-09-21,NIFTY_18100_CE,WED_OPTION_PRICE_DROP,SIG_19,1,1,1663735020,1663735200,10.65,12.25,1.6,0.0,Wednesday,1,18100_CE,0,LONG,,,11.715000000000002,5.325,60,1,IT,1663735020,True,BELOW_VA,2,17752.25,0.0,-0.28,0.0,-0.23,-0.44,-47.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.15,0.73,0.12,1,0.0,0.47,0.15,0.38,0.0,1,0.0059,0.94,0,0,0,0,0,6541.098750000056,54.509156250000466,7.625162293354844,0.01,-0.49,-5.339186681297557,0.748722633726451,-26.725232266636137,0.5255489833633812,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,,,,,,,,,,,,2022-09-21 10:07:00
2022-09-21,NIFTY_18200_CE,WED_OPTION_PRICE_DROP,SIG_20,1,1,1663735320,1663735440,4.7,5.2,0.5,0.0,Wednesday,1,18200_CE,0,LONG,,,5.170000000000001,2.35,60,1,IT,1663735320,True,BELOW_VA,2,17781.3,0.0,-0.11,0.0,-0.1,-0.12,-18.700000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.15,0.73,0.12,1,0.0,0.47,0.15,0.38,0.0,1,0.0059,0.94,0,0,0,0,0,7484.924999999929,62.37437499999941,8.156755891079863,0.03,-0.32,-4.612489076831347,1.3108368758404263,-19.945364516145457,1.6108999828716464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,2022-09-21 10:12:00
2022-09-21,NIFTY_18000_CE,WED_OPTION_PRICE_DROP,SIG_21,1,1,1663735320,1663735440,27.8,30.6,2.8,0.0,Wednesday,1,18000_CE,0,LONG,,,30.580000000000002,13.9,60,1,IT,1663735320,True,BELOW_VA,2,17781.3,0.0,-0.11,0.0,-0.1,-0.12,-18.700000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.15,0.73,0.12,1,0.0,0.47,0.15,0.38,0.0,1,0.0059,0.94,0,0,0,0,0,7484.924999999929,62.37437499999941,8.156755891079863,0.03,-0.32,-4.612489076831347,1.3108368758404263,-19.945364516145457,1.6108999828716464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-21 10:12:00
2022-09-21,NIFTY_18200_CE,WED_OPTION_PRICE_DROP,SIG_22,1,1,1663735800,1663736040,4.85,5.45,0.6,0.0,Wednesday,1,18200_CE,0,LONG,,,5.335,2.425,60,1,IT,1663735800,True,BELOW_VA,3,17783.1,1.0,-0.11,-0.13,-0.13,-0.1,-16.900000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.15,0.73,0.12,1,0.0,0.47,0.15,0.38,0.0,1,0.0059,0.94,0,0,0,0,0,8243.33499999997,68.69445833333309,8.56002855654633,0.08,-0.26,-4.3304923987877535,2.4367651649996365,-17.58109163996111,5.566710440020975,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,-0.1696,0.1308,1.0,0.96,0.5,0.504,-0.004,0.78,0.23,0.6147,0.1102,2022-09-21 10:20:00
2022-09-21,NIFTY_18100_CE,WED_OPTION_PRICE_DROP,SIG_23,1,1,1663735800,1663735980,12.4,13.8,1.4,0.0,Wednesday,1,18100_CE,0,LONG,,,13.640000000000002,6.2,60,1,IT,1663735800,True,BELOW_VA,3,17783.1,1.0,-0.11,-0.13,-0.13,-0.1,-16.900000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.15,0.73,0.12,1,0.0,0.47,0.15,0.38,0.0,1,0.0059,0.94,0,0,0,0,0,8243.33499999997,68.69445833333309,8.56002855654633,0.08,-0.26,-4.3304923987877535,2.4367651649996365,-17.58109163996111,5.566710440020975,,,,,,,,,,,,,,,,,,,,,,,-0.1696,0.1308,1.0,0.96,0.5,0.504,-0.004,0.78,0.23,0.6147,0.1102,2022-09-21 10:20:00
