day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,instr_target,instr_stop_loss,duration,quantity,exit_type,trigger_time,closed,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,entry_time_read
2022-11-18,NIFTY_18600_CE,FRIDAY_CHEAP_OPTION,SIG_1,1,1,1668759420,1668762540,14.65,16.45,1.8,-0.0,Friday,1,18600_CE,0,LONG,,,16.115000000000002,7.325,60,1,IT,1668759420,True,INSIDE_VA,10,18228.8,0.07,-0.3,-0.1,-0.08,-0.17,28.799999999999272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0.2,0.56,0.24,-1,0.7,0.55,0.39,0.06,0.75,1,0.0,-0.42,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,14407.31375000001,120.06094791666675,11.316581246609385,0.04,-0.76,-9.847528101712077,2.2069741118635715,-90.91294660688351,4.5663138097837495,0.1343,-0.6445,0.86,0.94,0.5,0.5924,-0.0924,0.78,0.4,0.9785,0.2777,2022-11-18 13:47:00
2022-11-18,NIFTY_18600_CE,FRIDAY_CHEAP_OPTION,SIG_2,1,1,1668759780,1668761820,14.0,15.55,1.55,-0.0,Friday,1,18600_CE,0,LONG,,,15.400000000000002,7.0,60,1,IT,1668759780,True,INSIDE_VA,10,18218.3,0.07,-0.3,-0.12,-0.08,-0.21,18.299999999999272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0.2,0.56,0.24,-1,0.7,0.55,0.39,0.06,0.75,1,0.0,-0.42,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,14407.31375000001,120.06094791666675,11.316581246609385,0.04,-0.76,-9.847528101712077,2.2069741118635715,-90.91294660688351,4.5663138097837495,0.1257,-0.6214,0.87,0.95,0.5,0.5916,-0.0916,0.78,0.4,0.9315,0.2637,2022-11-18 13:53:00
2022-11-18,NIFTY_18500_CE,FRIDAY_CHEAP_OPTION,SIG_3,1,1,1668759780,1668761820,28.85,32.55,3.7,-0.0,Friday,1,18500_CE,0,LONG,,,31.735000000000003,14.425,60,1,IT,1668759780,True,INSIDE_VA,10,18218.3,0.07,-0.3,-0.12,-0.08,-0.21,18.299999999999272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0.2,0.56,0.24,-1,0.7,0.55,0.39,0.06,0.75,1,0.0,-0.42,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,14407.31375000001,120.06094791666675,11.316581246609385,0.04,-0.76,-9.847528101712077,2.2069741118635715,-90.91294660688351,4.5663138097837495,0.1257,-0.6214,0.87,0.95,0.5,0.5916,-0.0916,0.78,0.4,0.9315,0.2637,2022-11-18 13:53:00
2022-11-18,NIFTY_18700_CE,FRIDAY_CHEAP_OPTION,SIG_4,1,1,1668759840,1668761700,6.45,7.1,0.65,0.0,Friday,1,18700_CE,0,LONG,,,7.095000000000001,3.225,60,1,IT,1668759840,True,INSIDE_VA,10,18214.6,0.07,-0.3,-0.12,-0.08,-0.21,14.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0.2,0.56,0.24,-1,0.7,0.55,0.39,0.06,0.75,1,0.0,-0.42,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,14407.31375000001,120.06094791666675,11.316581246609385,0.04,-0.76,-9.847528101712077,2.2069741118635715,-90.91294660688351,4.5663138097837495,0.1257,-0.6214,0.87,0.95,0.5,0.5916,-0.0916,0.78,0.4,0.9315,0.2637,2022-11-18 13:54:00
2022-11-18,NIFTY_18700_CE,FRIDAY_CHEAP_OPTION,SIG_5,1,1,1668760560,1668761940,6.55,7.25,0.7,0.0,Friday,1,18700_CE,0,LONG,,,7.205,3.275,60,1,IT,1668760560,True,INSIDE_VA,10,18216.65,0.06,-0.3,-0.09,-0.06,-0.17,16.650000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0.2,0.56,0.24,-1,0.7,0.55,0.39,0.06,0.75,1,0.0,-0.42,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,15080.08250000003,125.66735416666691,11.577788121129961,0.05,-0.75,-10.033919292798462,2.6730459660691848,-94.38706535099361,6.698601315673822,0.1068,-0.5573,0.89,0.96,0.51,0.5948,-0.0848,0.78,0.41,0.9985,0.2954,2022-11-18 14:06:00
2022-11-18,NIFTY_18500_CE,FRIDAY_CHEAP_OPTION,SIG_6,1,1,1668760860,1668761820,29.3,32.55,3.25,-0.0,Friday,1,18500_CE,0,LONG,,,32.230000000000004,14.65,60,1,IT,1668760860,True,INSIDE_VA,10,18227.7,0.06,-0.3,-0.09,-0.06,-0.17,27.700000000000728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0.2,0.56,0.24,-1,0.7,0.55,0.39,0.06,0.75,1,0.0,-0.42,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,15080.08250000003,125.66735416666691,11.577788121129961,0.05,-0.75,-10.033919292798462,2.6730459660691848,-94.38706535099361,6.698601315673822,0.1184,-0.5916,0.87,0.95,0.51,0.5954,-0.0854,0.78,0.41,1.0147,0.2996,2022-11-18 14:11:00
2022-11-18,NIFTY_18700_CE,FRIDAY_CHEAP_OPTION,SIG_7,1,1,1668760920,1668761820,6.5,7.2,0.7,0.0,Friday,1,18700_CE,0,LONG,,,7.15,3.25,60,1,IT,1668760920,True,INSIDE_VA,10,18223.75,0.06,-0.3,-0.09,-0.06,-0.17,23.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0.2,0.56,0.24,-1,0.7,0.55,0.39,0.06,0.75,1,0.0,-0.42,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,15080.08250000003,125.66735416666691,11.577788121129961,0.05,-0.75,-10.033919292798462,2.6730459660691848,-94.38706535099361,6.698601315673822,0.1184,-0.5916,0.87,0.95,0.51,0.5954,-0.0854,0.78,0.41,1.0147,0.2996,2022-11-18 14:12:00
2022-11-18,NIFTY_18600_CE,FRIDAY_CHEAP_OPTION,SIG_8,1,1,1668761760,1668762540,14.7,16.45,1.75,-0.0,Friday,1,18600_CE,0,LONG,,,16.17,7.35,60,1,IT,1668761760,True,INSIDE_VA,11,18239.1,0.06,-0.3,-0.08,-0.06,-0.15,39.099999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0.2,0.56,0.24,-1,0.7,0.55,0.39,0.06,0.75,1,0.0,-0.42,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,15516.558750000115,129.30465625000096,11.744146059491413,0.06,-0.71,-9.92405796143642,2.9719276022751298,-92.33149352057772,8.280331568592,0.1415,-0.6499,0.84,0.93,0.5,0.5941,-0.0941,0.78,0.41,1.1521,0.329,2022-11-18 14:26:00
2022-11-18,NIFTY_18800_CE,FRIDAY_CHEAP_OPTION,SIG_9,1,1,1668761940,1668763980,4.05,4.6,0.55,0.0,Friday,1,18800_CE,0,LONG,,,4.455,2.025,60,1,IT,1668761940,True,INSIDE_VA,11,18257.7,0.06,-0.3,-0.07,-0.04,-0.14,-42.29999999999927,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0.2,0.56,0.24,-1,0.7,0.55,0.39,0.06,0.75,1,0.0,-0.42,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,15766.308750000137,131.38590625000114,11.838283940954783,0.07,-0.7,-9.88175912362038,3.1960273197314875,-91.54609066617621,9.57617871419066,0.1415,-0.6499,0.84,0.93,0.5,0.5941,-0.0941,0.78,0.41,1.1521,0.329,2022-11-18 14:29:00
2022-11-11,NIFTY_18200_PE,FRIDAY_CHEAP_OPTION,SIG_1,1,1,1668138600,1668142200,63.0,61.0,-2.0,0.0,Friday,1,18200_PE,0,SHORT,,,69.30000000000001,31.5,60,1,TC,1668138600,True,GAP_UP,1,18291.55,0.0,0.0,0.0,0.0,0.0,-8.450000000000728,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.44,0.06,-1,0.0,0.03,0.05,0.92,0.0,-1,-0.004,-0.9,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.40625,0.13671875,0.38188130791298663,0.0,1.0,0.38188130791298663,0.0,0.13671875,0.0,,,,,,,,,,,,2022-11-11 09:20:00
2022-11-11,NIFTY_18300_PE,FRIDAY_CHEAP_OPTION,SIG_2,1,1,1668138840,1668142440,98.35,97.9,-0.45,0.0,Friday,1,18300_PE,0,SHORT,,,108.185,49.175,60,1,TC,1668138840,True,GAP_UP,1,18308.1,0.0,0.19,0.0,0.25,0.0,8.099999999998545,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.44,0.06,-1,0.0,0.03,0.05,0.92,0.0,-1,-0.004,-0.9,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,335.27999999994347,2.793999999999529,1.7263448863614026,0.0,1.0,1.7263448863614026,0.0,2.793999999999529,0.0,,,,,,,,,,,,2022-11-11 09:24:00
2022-11-11,NIFTY_18200_PE,FRIDAY_CHEAP_OPTION,SIG_3,1,1,1668138840,1668142440,61.3,61.0,-0.3,0.0,Friday,1,18200_PE,0,SHORT,,,67.43,30.65,60,1,TC,1668138840,True,GAP_UP,1,18308.1,0.0,0.19,0.0,0.25,0.0,8.099999999998545,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.44,0.06,-1,0.0,0.03,0.05,0.92,0.0,-1,-0.004,-0.9,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,335.27999999994347,2.793999999999529,1.7263448863614026,0.0,1.0,1.7263448863614026,0.0,2.793999999999529,0.0,,,,,,,,,,,,2022-11-11 09:24:00
2022-11-11,NIFTY_18100_PE,FRIDAY_CHEAP_OPTION,SIG_4,1,1,1668138840,1668142440,37.2,37.0,-0.2,0.0,Friday,1,18100_PE,0,SHORT,,,40.92000000000001,18.6,60,1,TC,1668138840,True,GAP_UP,1,18308.1,0.0,0.19,0.0,0.25,0.0,8.099999999998545,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.44,0.06,-1,0.0,0.03,0.05,0.92,0.0,-1,-0.004,-0.9,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,335.27999999994347,2.793999999999529,1.7263448863614026,0.0,1.0,1.7263448863614026,0.0,2.793999999999529,0.0,,,,,,,,,,,,2022-11-11 09:24:00
2022-11-11,NIFTY_18200_PE,FRIDAY_CHEAP_OPTION,SIG_5,1,1,1668139140,1668142740,63.3,62.6,-0.7,0.0,Friday,1,18200_PE,0,SHORT,,,69.63,31.65,60,1,TC,1668139140,True,GAP_UP,1,18296.95,0.0,0.06,0.0,0.08,0.0,-3.0499999999992724,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.44,0.06,-1,0.0,0.03,0.05,0.92,0.0,-1,-0.004,-0.9,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1053.2799999998997,8.777333333332498,3.059818440510482,0.0,1.0,3.059818440510482,0.0,8.777333333332498,0.0,,,,,,,,,,,,2022-11-11 09:29:00
2022-11-11,NIFTY_18300_PE,FRIDAY_CHEAP_OPTION,SIG_6,1,1,1668139200,1668142800,94.6,102.15,7.55,0.0,Friday,1,18300_PE,0,SHORT,,,104.06,47.3,60,1,TC,1668139200,True,GAP_UP,1,18320.65,0.0,0.06,0.0,0.08,0.0,20.650000000001455,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0.44,0.06,-1,0.0,0.03,0.05,0.92,0.0,-1,-0.004,-0.9,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1053.2799999998997,8.777333333332498,3.059818440510482,0.0,1.0,3.059818440510482,0.0,8.777333333332498,0.0,,,,,,,,,,,,2022-11-11 09:30:00
