day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,instr_target,instr_stop_loss,duration,quantity,exit_type,trigger_time,closed,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,entry_time_read
03/01/23,NIFTY,PriceBreakEMADownward,SIG_4,1,-1,1672735440,1672735800,18205.45,18228.55,-23.1,0,Tuesday,1,SPOT,0,SHORT,18150.83365,18225.1,18150.83365,18225.1,60,1,IS,1672735440,TRUE,INSIDE_VA,10,18205.45,0.88,0.25,0,-0.03,0.1,0.1252,-0.5572,0.81,0.91,0.49,0.5632,-0.0732,0.72,0.41,1.5625,0.3847,5.45,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0.35,0.06,0.59,1,1,0.19,0.03,0.78,0.7,-1,0,-0.04,0,1,1,0,1,8377.06875,69.80890625,8.629184975,0.04,0.3,4.701907839,1.777940768,20.72619124,2.963506287,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,03/01/23 14:14
03/01/23,NIFTY,PriceBreakEMADownward,SIG_5,1,-1,1672738140,1672739940,18231.65,18234.3,-2.65,0,Tuesday,1,SPOT,0,SHORT,18176.95505,18251.95,18176.95505,18251.95,30,1,TC,1672738140,TRUE,INSIDE_VA,12,18231.65,0.79,0.25,0.01,-0.02,0.1,0.1222,-0.5428,0.82,0.91,0.47,0.5448,-0.0748,0.69,0.4,1.609,0.3755,31.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0.35,0.06,0.59,1,1,0.19,0.03,0.78,0.7,-1,0,-0.04,0,1,1,0,1,10151.00375,84.59169792,9.49900755,0.11,0.34,5.561351043,3.179417618,28.99558633,9.476902864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,03/01/23 14:59
02/01/23,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1672635540,1672636020,18156.75,18179.1,-22.35,0,Monday,1,SPOT,0,SHORT,18102.27975,18173.85,18102.27975,18173.85,60,1,IS,1672635540,TRUE,BELOW_VA,3,18156.75,1,0.25,0.14,0.13,0.15,0.273,-0.859,0.08,0.17,0.47,0.5707,-0.1007,0.65,0.49,2.7208,0.4475,-43.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.19,0.03,0.78,-1,0.81,0.22,0.1,0.68,0.63,1,0.0016,0.48,1,0,0,1,0,4321.9125,36.0159375,6.198144884,0,0.46,4.204455309,0,16.57260417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,02/01/23 10:29
02/01/23,NIFTY,PriceBreakEMADownward,SIG_2,1,-1,1672638240,1672641840,18186.5,18190.65,-4.15,0,Monday,1,SPOT,0,SHORT,18131.9405,18199.8,18131.9405,18199.8,60,1,TC,1672638240,TRUE,BELOW_VA,4,18186.5,0.25,0.25,0.14,0.14,0.16,0.194,-0.7348,0.62,0.75,0.43,0.5188,-0.0888,0.67,0.36,1.7656,0.3504,-13.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0.19,0.03,0.78,-1,0.81,0.22,0.1,0.68,0.63,1,0.0016,0.48,1,0,0,1,0,6923.9625,57.6996875,7.84514712,0,0.66,6.388018298,0,38.25635417,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,02/01/23 11:14
02/01/23,NIFTY,PriceBreakEMADownward,SIG_3,1,-1,1672642440,1672646040,18182.8,18186.55,-3.75,0,Monday,1,SPOT,0,SHORT,18128.2516,18197.3,18128.2516,18197.3,60,1,TC,1672642440,TRUE,BELOW_VA,7,18182.8,0.11,0.25,0.11,0.1,0.13,0.1711,-0.7532,0.81,0.91,0.38,0.4825,-0.1025,0.69,0.28,1.0531,0.1791,-17.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0.19,0.03,0.78,-1,0.81,0.22,0.1,0.68,0.63,1,0.0016,0.48,1,0,0,1,0,7566.205,63.05170833,8.200924067,0,0.6,6.333215788,0,37.60277083,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,02/01/23 12:24
30/12/22,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1672374840,1672378440,18234.25,18225.2,9.05,0,Friday,1,SPOT,0,SHORT,18179.54725,18259.05,18179.54725,18259.05,60,1,TC,1672374840,TRUE,GAP_UP,2,18234.25,0,-0.07,0,-0.07,-0.06,,,,,,,,,,,,34.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.22,0.1,0.68,1,0.44,0.16,0.61,0.23,1,1,-0.0012,0.45,1,1,1,1,1,4172.7125,34.77260417,6.090219846,0.08,0.1,1.957196174,1.738072856,3.591203308,2.832091174,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30/12/22 10:04
30/12/22,NIFTY,PriceBreakEMADownward,SIG_2,1,-1,1672377840,1672381440,18233.3,18205.5,27.8,0,Friday,1,SPOT,0,SHORT,18178.6001,18252.45,18178.6001,18252.45,60,1,TC,1672377840,TRUE,GAP_UP,4,18233.3,1,-0.11,0.01,0,0.04,-0.0616,-0.1766,0.97,0.97,0.35,0.4034,-0.0534,0.69,0.12,0.6641,-0.005,33.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.22,0.1,0.68,1,0.44,0.16,0.61,0.23,1,1,-0.0012,0.45,1,1,1,1,1,5173.1325,43.1094375,6.781106104,0.21,0.08,1.85974207,3.092049595,3.242475533,8.963222531,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30/12/22 10:54
30/12/22,NIFTY,PriceBreakEMADownward,SIG_3,1,-1,1672385340,1672388940,18217.4,18170.35,47.05,0,Friday,1,SPOT,0,SHORT,18162.7478,18233.9,18162.7478,18233.9,60,1,TC,1672385340,TRUE,GAP_UP,8,18217.4,0.73,-0.11,-0.02,-0.02,-0.03,0.0528,-0.4648,0.94,0.99,0.38,0.4526,-0.0726,0.7,0.21,0.7033,0.0419,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.22,0.1,0.68,1,0.44,0.16,0.61,0.23,1,1,-0.0012,0.45,1,1,1,1,1,7689.7075,64.08089583,8.267584626,0.34,0.04,1.602302423,4.800721309,2.40691224,21.60649227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30/12/22 12:59
29/12/22,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1672291440,1672294380,18016.25,18037,-20.75,0,Thursday,1,SPOT,0,SHORT,17962.20125,18028.65,17962.20125,18028.65,60,1,IS,1672291440,TRUE,GAP_DOWN,4,18016.25,1,-0.09,-0.04,-0.04,-0.04,-0.0026,-0.3329,0.96,0.98,0.47,0.5173,-0.0473,0.79,0.24,0.6834,0.12,16.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0,0.27,1,0,1,1,0,4195.48625,34.96238542,6.106816774,0.1,-0.14,-2.256325222,1.968611901,-4.772815788,3.633218265,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,29/12/22 10:54
29/12/22,NIFTY,PriceBreakEMADownward,SIG_2,1,-1,1672295940,1672299360,18029,18050.85,-21.85,0,Thursday,1,SPOT,0,SHORT,17974.913,18050.15,17974.913,18050.15,60,1,IS,1672295940,TRUE,GAP_DOWN,6,18029,1,-0.09,-0.01,0.01,-0.04,0.0456,-0.4342,0.95,0.99,0.39,0.4664,-0.0764,0.69,0.25,0.6756,0.0432,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0,0.27,1,0,1,1,0,5332.67,44.43891667,6.884875533,0.17,-0.02,-1.022269629,2.871510091,-0.979720496,7.730222068,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,29/12/22 12:09
29/12/22,NIFTY,PriceBreakEMADownward,SIG_3,1,-1,1672300440,1672301460,18041.2,18053.95,-12.75,0,Thursday,1,SPOT,0,SHORT,17987.0764,18053.8,17987.0764,18053.8,60,1,IS,1672300440,TRUE,GAP_DOWN,9,18041.2,1,-0.09,0,0.01,0,0.0111,-0.27,0.97,1,0.44,0.4831,-0.0431,0.66,0.31,0.427,-0.0742,41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0,0.27,1,0,1,1,0,6873.82125,57.28184375,7.81668941,0.3,0,-0.254313008,4.264990256,-0.060632912,17.05325802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29/12/22 13:24
29/12/22,NIFTY,PriceBreakEMADownward,SIG_4,1,-1,1672303740,1672304700,18078.25,18098.2,-19.95,0,Thursday,1,SPOT,0,SHORT,18024.01525,18097.5,18024.01525,18097.5,60,1,IS,1672303740,TRUE,GAP_DOWN,11,18078.25,0.82,-0.09,0.03,0.02,0.05,0.0189,-0.2742,0.96,0.99,0.48,0.5205,-0.0405,0.68,0.36,1.2,0.3056,-21.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0.16,0.61,0.23,1,0.77,0.67,0.08,0.25,0.44,1,0,0.27,1,0,1,1,0,8940.55375,74.50461458,8.914683892,0.33,0.09,2.699306323,5.084763564,6.830863713,24.23889422,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29/12/22 14:19
28/12/22,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1672202940,1672206540,18132.4,18138.7,-6.3,0,Wednesday,1,SPOT,0,SHORT,18078.0028,18146.8,18078.0028,18146.8,60,1,TC,1672202940,TRUE,INSIDE_VA,3,18132.4,1,0.11,0.07,0.04,0.15,0.176,-0.6013,0.31,0.42,0.42,0.5057,-0.0857,0.6,0.42,2.5825,0.3956,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.67,0.08,0.25,1,0.64,0.18,0.24,0.58,0.38,1,0.0003,0.75,1,0,1,1,0,3491.96875,29.09973958,5.571330382,0.1,0.42,3.614787942,1.732136548,12.25002363,2.812778457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28/12/22 10:19
28/12/22,NIFTY,PriceBreakEMADownward,SIG_2,1,-1,1672207140,1672208760,18132.15,18144.3,-12.15,0,Wednesday,1,SPOT,0,SHORT,18077.75355,18141.75,18077.75355,18141.75,60,1,IS,1672207140,TRUE,INSIDE_VA,5,18132.15,1,0.11,0.05,0.01,0.17,-0.0057,-0.2043,0.86,0.88,0.53,0.5634,-0.0334,0.77,0.36,1.267,0.3694,32.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.67,0.08,0.25,1,0.64,0.18,0.24,0.58,0.38,1,0.0003,0.75,1,0,1,1,0,5794.53875,48.28782292,7.176838518,0.19,0.14,2.66864439,3.152329401,6.676558952,9.316106861,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28/12/22 11:29
28/12/22,NIFTY,PriceBreakEMADownward,SIG_3,1,-1,1672210440,1672214040,18131,18129.7,1.3,0,Wednesday,1,SPOT,0,SHORT,18076.607,18152.75,18076.607,18152.75,60,1,TC,1672210440,TRUE,INSIDE_VA,7,18131,1,0.11,0.03,0.01,0.08,-0.0264,-0.216,0.97,0.98,0.5,0.5383,-0.0383,0.77,0.3,0.6017,0.1014,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.67,0.08,0.25,1,0.64,0.18,0.24,0.58,0.38,1,0.0003,0.75,1,0,1,1,0,6760.90125,56.34084375,7.752219037,0.23,0.1,2.437739993,3.70745717,5.571165258,12.88616125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28/12/22 12:24
28/12/22,NIFTY,PriceBreakEMADownward,SIG_4,1,-1,1672217340,1672220940,18153.5,18119.35,34.15,0,Wednesday,1,SPOT,0,SHORT,18099.0395,18173.1,18099.0395,18173.1,60,1,TC,1672217340,TRUE,INSIDE_VA,11,18153.5,0.82,0.11,0.02,0.01,0.06,-0.0694,-0.0643,0.99,0.98,0.45,0.4756,-0.0256,0.68,0.27,0.4868,-0.0163,-46.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0.67,0.08,0.25,1,0.64,0.18,0.24,0.58,0.38,1,0.0003,0.75,1,0,1,1,0,9416.665,78.47220833,9.148972013,0.38,0.11,3.022332437,5.648613533,8.563587523,29.91265767,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28/12/22 14:19
27/12/22,NIFTY,PriceBreakEMADownward,SIG_1,1,-1,1672120440,1672123680,18046.9,18067,-20.1,0,Tuesday,1,SPOT,0,SHORT,17992.7593,18062.8,17992.7593,18062.8,60,1,IS,1672120440,TRUE,GAP_UP,5,18046.9,1,-0.23,0.04,0.03,0.08,0.017,-0.1513,0.82,0.86,0.54,0.5718,-0.0318,0.66,0.48,2.675,0.5122,46.9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0.18,0.24,0.58,1,0.87,0.16,0.27,0.57,1,-1,0,0.53,1,1,1,1,1,18128.8,151.0733333,12.69428568,0.09,-0.42,-8.223145057,3.73296685,-63.39385746,13.06410141,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27/12/22 11:24
