day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,open_type,tpo,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,entry_time_read
2022-12-22,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_4,1,1,1671693300,1671694200,18085.4,18086.55,1.15,-0.0,Thursday,1,18121.5708,18067.3146,15,1,0,0,1671693300,True,0,INSIDE_VA,8,0.0,-0.3,-0.19,-0.15,-0.33,0.0319,-0.3606,0.95,0.99,0.45,0.5097,-0.0597,0.7,0.32,0.5655,0.0333,-14.599999999998545,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.12,0.74,-1,0.65,0.68,0.09,0.23,1.0,1,0.0017,-0.22,1,1,1,1,1,2022-12-22 12:45:00
2022-12-22,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_5,1,1,1671699300,1671700200,18149.9,18130.0,-19.9,0.0,Thursday,1,18186.199800000002,18131.7501,15,1,-1,0,1671699300,True,0,INSIDE_VA,11,0.0,-0.3,-0.12,-0.09,-0.2,0.0289,-0.3602,0.96,0.99,0.44,0.5001,-0.0601,0.7,0.3,0.598,0.0439,49.900000000001455,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.12,0.74,-1,0.65,0.68,0.09,0.23,1.0,1,0.0017,-0.22,1,1,1,1,1,2022-12-22 14:25:00
2022-12-16,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1671165600,1671166200,18343.65,18323.2,-20.45,0.0,Friday,1,18380.337300000003,18325.306350000003,15,1,-1,0,1671165600,True,0,GAP_DOWN,2,0.0,-0.16,0.0,-0.14,-0.25,,,,,,,,,,,,43.650000000001455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.15,0.82,-1,0.08,0.16,0.39,0.45,0.32,-1,-0.001,-1.5,0,1,1,0,1,2022-12-16 10:10:00
2022-12-16,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1671171900,1671172800,18319.05,18327.6,8.55,0.0,Friday,1,18355.6881,18300.73095,15,1,0,0,1671171900,True,0,GAP_DOWN,6,0.71,-0.22,-0.18,-0.16,-0.23,0.0862,-0.4124,0.81,0.89,0.54,0.599,-0.059,0.74,0.46,1.8744,0.4682,19.049999999999272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.15,0.82,-1,0.08,0.16,0.39,0.45,0.32,-1,-0.001,-1.5,0,1,1,0,1,2022-12-16 11:55:00
2022-12-16,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1671175500,1671176400,18393.0,18375.15,-17.85,0.0,Friday,1,18429.786,18374.607,15,1,0,0,1671175500,True,0,GAP_DOWN,8,0.82,-0.22,-0.03,-0.03,-0.03,0.0413,-0.3132,0.93,0.98,0.56,0.6091,-0.0491,0.77,0.45,1.5546,0.4559,-7.0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.15,0.82,-1,0.08,0.16,0.39,0.45,0.32,-1,-0.001,-1.5,0,1,1,0,1,2022-12-16 12:55:00
2022-12-16,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_4,1,1,1671177300,1671178200,18369.25,18359.15,-10.1,0.0,Friday,1,18405.9885,18350.88075,15,1,0,0,1671177300,True,0,GAP_DOWN,9,0.85,-0.22,-0.07,-0.06,-0.1,0.015,-0.2353,0.96,0.99,0.54,0.5794,-0.0394,0.73,0.43,1.5601,0.4354,-30.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.15,0.82,-1,0.08,0.16,0.39,0.45,0.32,-1,-0.001,-1.5,0,1,1,0,1,2022-12-16 13:25:00
2022-12-15,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1671079200,1671080100,18575.0,18592.9,17.9,0.0,Thursday,1,18612.15,18556.425,15,1,0,0,1671079200,True,0,GAP_DOWN,2,0.0,-0.23,0.0,-0.2,-0.31,,,,,,,,,,,,-25.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.16,0.39,0.45,-1,0.0,0.27,0.16,0.57,0.0,1,0.0029,0.31,1,0,0,1,0,2022-12-15 10:10:00
2022-12-15,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1671079800,1671080700,18585.05,18587.6,2.55,0.0,Thursday,1,18622.2201,18566.464949999998,15,1,0,0,1671079800,True,0,GAP_DOWN,3,1.0,-0.3,-0.2,-0.17,-0.3,0.273,-0.885,0.17,0.28,0.54,0.6721,-0.1321,0.76,0.59,2.4505,0.5179,-14.950000000000728,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.16,0.39,0.45,-1,0.0,0.27,0.16,0.57,0.0,1,0.0029,0.31,1,0,0,1,0,2022-12-15 10:20:00
2022-12-15,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1671081300,1671082200,18581.05,18568.75,-12.3,0.0,Thursday,1,18618.2121,18562.46895,15,1,0,0,1671081300,True,0,GAP_DOWN,4,1.0,-0.3,-0.13,-0.12,-0.18,0.1355,-0.6768,0.85,0.92,0.41,0.5109,-0.1009,0.75,0.27,0.862,0.1509,-18.950000000000728,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.16,0.39,0.45,-1,0.0,0.27,0.16,0.57,0.0,1,0.0029,0.31,1,0,0,1,0,2022-12-15 10:45:00
2022-12-15,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_4,1,1,1671083700,1671084600,18569.3,18568.65,-0.65,0.0,Thursday,1,18606.438599999998,18550.7307,15,1,0,0,1671083700,True,0,GAP_DOWN,5,1.0,-0.3,-0.18,-0.15,-0.28,0.0765,-0.519,0.91,0.97,0.42,0.4938,-0.0738,0.73,0.25,0.7257,0.096,-30.700000000000728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.39,0.45,-1,0.0,0.27,0.16,0.57,0.0,1,0.0029,0.31,1,0,0,1,0,2022-12-15 11:25:00
2022-12-15,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_5,1,1,1671093600,1671094500,18502.2,18514.3,12.1,0.0,Thursday,1,18539.204400000002,18483.6978,15,1,0,0,1671093600,True,0,GAP_DOWN,10,0.38,-0.3,-0.13,-0.1,-0.23,0.1347,-0.6483,0.86,0.94,0.48,0.57,-0.09,0.77,0.37,0.9695,0.2547,2.2000000000007276,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.39,0.45,-1,0.0,0.27,0.16,0.57,0.0,1,0.0029,0.31,1,0,0,1,0,2022-12-15 14:10:00
2022-12-15,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_6,1,1,1671093900,1671094740,18521.4,18496.45,-24.95,0.0,Thursday,1,18558.4428,18502.8786,15,1,-1,0,1671093900,True,0,GAP_DOWN,11,0.35,-0.3,-0.11,-0.08,-0.19,0.1176,-0.5986,0.88,0.95,0.48,0.5594,-0.0794,0.76,0.36,0.9113,0.2294,21.400000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.39,0.45,-1,0.0,0.27,0.16,0.57,0.0,1,0.0029,0.31,1,0,0,1,0,2022-12-15 14:15:00
2022-12-15,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_7,1,1,1671096300,1671097200,18421.7,18430.65,8.95,0.0,Thursday,1,18458.543400000002,18403.2783,15,1,0,0,1671096300,True,0,GAP_DOWN,12,0.32,-0.3,-0.16,-0.12,-0.28,0.0633,-0.4447,0.93,0.98,0.49,0.5585,-0.0685,0.75,0.36,0.5832,0.0901,21.700000000000728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.39,0.45,-1,0.0,0.27,0.16,0.57,0.0,1,0.0029,0.31,1,0,0,1,0,2022-12-15 14:55:00
