day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,open_type,tpo,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,pattern_time,pattern_price,strength,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,entry_time_read
2022-06-24,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1656046140,1656047040,15659.9,15668.35,8.45,-0.0,Friday,1,15691.219799999999,15644.240099999999,15,1,0,0,1656046140,True,0,GAP_UP,3,1.0,0.0,-0.08,-0.02,-0.25,-40.100000000000364,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.32,0.2,0.48,1,0.69,0.08,0.11,0.81,1.0,-1,0.0,0.73,1,1,1,1,1,[1656045900],"[[15688.4, 15697.0, 15659.9, 15659.9]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1146,-0.7419,0.85,0.9,0.35,0.5024,-0.1524,0.74,0.26,0.731,0.0381,2022-06-24 10:19:00
2022-06-24,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1656049140,1656050040,15676.85,15689.55,12.7,-0.0,Friday,1,15708.2037,15661.17315,15,1,0,0,1656049140,True,0,GAP_UP,4,1.0,0.0,0.02,0.02,0.0,-23.149999999999636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.32,0.2,0.48,1,0.69,0.08,0.11,0.81,1.0,-1,0.0,0.73,1,1,1,1,1,[1656048900],"[[15678.0, 15683.25, 15671.9, 15676.85]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1261,-0.6985,0.89,0.96,0.36,0.4742,-0.1142,0.71,0.23,0.7544,0.0552,2022-06-24 11:09:00
2022-06-24,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1656055740,1656056640,15659.2,15680.25,21.05,-0.0,Friday,1,15690.5184,15643.5408,15,1,0,0,1656055740,True,0,GAP_UP,8,0.64,0.0,0.01,0.01,0.0,-40.79999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.32,0.2,0.48,1,0.69,0.08,0.11,0.81,1.0,-1,0.0,0.73,1,1,1,1,1,[1656055500],"[[15657.45, 15661.1, 15653.3, 15659.2]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1227,-0.659,0.89,0.96,0.38,0.4817,-0.1017,0.7,0.26,0.7643,0.0761,2022-06-24 12:59:00
2022-06-24,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_4,1,1,1656056040,1656056760,15686.45,15666.95,-19.5,-0.0,Friday,1,15717.822900000001,15670.763550000001,15,1,-1,0,1656056040,True,0,GAP_UP,8,0.67,0.0,0.03,0.03,0.03,-13.549999999999272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.32,0.2,0.48,1,0.69,0.08,0.11,0.81,1.0,-1,0.0,0.73,1,1,1,1,1,[1656055800],"[[15659.2, 15688.75, 15657.05, 15686.45]]",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1263,-0.6655,0.89,0.96,0.38,0.483,-0.103,0.7,0.26,0.7713,0.0808,2022-06-24 13:04:00
2022-06-24,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_5,1,1,1656058440,1656058680,15638.3,15679.05,40.75,-0.0,Friday,1,15669.576599999999,15622.661699999999,15,1,1,0,1656058440,True,0,GAP_UP,9,0.71,0.0,-0.01,0.0,-0.03,38.29999999999927,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.32,0.2,0.48,1,0.69,0.08,0.11,0.81,1.0,-1,0.0,0.73,1,1,1,1,1,[1656058200],"[[15661.85, 15663.5, 15637.15, 15638.3]]",100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1181,-0.6523,0.9,0.97,0.39,0.4924,-0.1024,0.72,0.27,0.7548,0.0841,2022-06-24 13:44:00
2022-06-24,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_6,1,1,1656058740,1656059100,15680.2,15663.1,-17.1,-0.0,Friday,1,15711.5604,15664.5198,15,1,-1,0,1656058740,True,0,GAP_UP,10,0.67,0.0,0.01,0.01,0.0,-19.799999999999272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.32,0.2,0.48,1,0.69,0.08,0.11,0.81,1.0,-1,0.0,0.73,1,1,1,1,1,[1656058500],"[[15637.75, 15686.9, 15637.7, 15680.2]]",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115,-0.6424,0.9,0.97,0.4,0.4951,-0.0951,0.72,0.27,0.7542,0.0901,2022-06-24 13:49:00
2022-06-24,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_7,1,1,1656059340,1656060240,15683.05,15706.9,23.85,-0.0,Friday,1,15714.416099999999,15667.36695,15,1,0,0,1656059340,True,0,GAP_UP,10,0.67,0.0,0.01,0.01,0.0,-16.950000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.32,0.2,0.48,1,0.69,0.08,0.11,0.81,1.0,-1,0.0,0.73,1,1,1,1,1,[1656059100],"[[15666.1, 15683.7, 15662.5, 15683.05]]",100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1186,-0.6484,0.9,0.97,0.39,0.4859,-0.0959,0.71,0.26,0.7606,0.0826,2022-06-24 13:59:00
2022-06-24,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_8,1,1,1656059940,1656060840,15699.25,15702.55,3.3,0.0,Friday,1,15730.6485,15683.55075,15,1,0,0,1656059940,True,0,GAP_UP,10,0.69,0.0,0.02,0.01,0.04,-0.75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.32,0.2,0.48,1,0.69,0.08,0.11,0.81,1.0,-1,0.0,0.73,1,1,1,1,1,[1656059700],"[[15681.3, 15708.3, 15672.0, 15699.25]]",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1133,-0.6317,0.9,0.97,0.38,0.4781,-0.0981,0.7,0.25,0.7549,0.0748,2022-06-24 14:09:00
2022-06-17,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1655439300,1655439600,15350.05,15383.45,33.4,0.0,Friday,1,15380.7501,15334.699949999998,15,1,1,0,1655439300,True,0,GAP_DOWN,2,0.0,0.09,0.0,0.04,0.25,-49.95000000000073,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.02,0.06,0.92,-1,0.2,0.04,0.52,0.44,1.0,-1,0.0031,-2.46,1,1,1,1,1,[1655439060],"[[15255.1, 15384.5, 15254.85, 15350.05]]",200,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2022-06-17 09:45:00
2022-06-17,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1655443200,1655444100,15300.2,15310.35,10.15,-0.0,Friday,1,15330.8004,15284.899800000001,15,1,0,0,1655443200,True,0,GAP_DOWN,4,1.0,0.05,0.01,-0.01,0.07,0.2000000000007276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.02,0.06,0.92,-1,0.2,0.04,0.52,0.44,1.0,-1,0.0031,-2.46,1,1,1,1,1,[1655442960],"[[15314.75, 15325.75, 15297.7, 15300.2]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1764,0.2349,0.98,0.92,0.44,0.4322,0.0078,0.64,0.23,0.4699,-0.047,2022-06-17 10:50:00
2022-06-16,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1655370600,1655371500,15355.65,15367.55,11.9,0.0,Thursday,1,15386.3613,15340.29435,15,1,0,0,1655370600,True,0,GAP_UP,11,0.0,-0.39,-0.34,-0.28,-0.5,-44.350000000000364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.04,0.52,0.44,-1,1.0,0.07,0.58,0.35,0.53,1,0.0,-0.46,0,1,1,1,1,[1655370360],"[[15384.6, 15384.6, 15344.8, 15355.65]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1178,-0.4866,0.75,0.86,0.53,0.5965,-0.0665,0.72,0.48,2.034,0.4746,2022-06-16 14:40:00
2022-06-03,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1654244100,1654245000,16676.05,16690.05,14.0,0.0,Friday,1,16709.4021,16659.37395,15,1,0,0,1654244100,True,0,GAP_UP,10,0.29,0.02,-0.05,-0.02,-0.14,-23.950000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.19,0.04,0.77,1,1.0,0.48,0.26,0.26,0.97,-1,0.0,0.35,1,1,1,1,1,[1654243860],"[[16679.3, 16684.7, 16674.5, 16676.05]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1796,-0.7789,0.8,0.91,0.45,0.5575,-0.1075,0.75,0.37,1.034,0.2459,2022-06-03 13:45:00
2022-06-03,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1654244700,1654245600,16692.0,16705.95,13.95,0.0,Friday,1,16725.384000000002,16675.308,15,1,0,0,1654244700,True,0,GAP_UP,10,0.27,0.02,-0.05,-0.03,-0.12,-8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.19,0.04,0.77,1,1.0,0.48,0.26,0.26,0.97,-1,0.0,0.35,1,1,1,1,1,[1654244460],"[[16671.15, 16693.1, 16668.9, 16692.0]]",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1619,-0.7221,0.82,0.92,0.47,0.5695,-0.0995,0.76,0.38,1.054,0.2701,2022-06-03 13:55:00
2022-06-03,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1654248600,1654249320,16589.0,16570.8,-18.2,0.0,Friday,1,16622.178,16572.411,15,1,-1,0,1654248600,True,0,GAP_UP,12,0.21,0.02,-0.09,-0.07,-0.15,-11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0.19,0.04,0.77,1,1.0,0.48,0.26,0.26,0.97,-1,0.0,0.35,1,1,1,1,1,[1654248360],"[[16621.2, 16624.75, 16587.6, 16589.0]]",100,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1337,-0.6484,0.86,0.95,0.47,0.5624,-0.0924,0.76,0.36,0.9387,0.2365,2022-06-03 15:00:00
2022-05-20,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1653020100,1653020400,16116.05,16150.0,33.95,-0.0,Friday,1,16148.282099999999,16099.933949999999,15,1,1,0,1653020100,True,0,GAP_UP,2,0.0,0.22,0.0,0.21,0.25,16.049999999999272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.32,0.43,-1,0.0,0.24,0.43,0.33,0.0,-1,-0.018,-3.04,0,0,0,0,0,[1653019860],"[[16128.75, 16134.0, 16113.5, 16116.05]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2022-05-20 09:45:00
2022-05-20,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1653020400,1653021300,16150.0,16155.65,5.65,-0.0,Friday,1,16182.3,16133.85,15,1,0,0,1653020400,True,0,GAP_UP,2,0.0,0.24,0.0,0.21,0.33,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.32,0.43,-1,0.0,0.24,0.43,0.33,0.0,-1,-0.018,-3.04,0,0,0,0,0,[1653020160],"[[16116.45, 16151.25, 16116.45, 16150.0]]",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2022-05-20 09:50:00
2022-05-20,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1653021600,1653022500,16160.1,16160.45,0.35,-0.0,Friday,1,16192.4202,16143.939900000001,15,1,0,0,1653021600,True,0,GAP_UP,2,0.0,0.25,0.0,0.25,0.25,-39.899999999999636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0.32,0.43,-1,0.0,0.24,0.43,0.33,0.0,-1,-0.018,-3.04,0,0,0,0,0,[1653021360],"[[16155.7, 16162.65, 16149.5, 16160.1]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,2022-05-20 10:10:00
2022-05-19,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1652936400,1652937300,15940.45,15934.65,-5.8,0.0,Thursday,1,15972.3309,15924.50955,15,1,0,0,1652936400,True,0,GAP_DOWN,3,1.0,0.03,0.08,0.05,0.15,40.45000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.24,0.43,0.33,-1,0.39,0.03,0.0,0.97,0.19,1,0.0021,0.69,1,0,0,1,0,[1652936160],"[[15948.9, 15949.4, 15932.3, 15940.45]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,-0.4792,0.95,0.97,0.38,0.4699,-0.0899,0.79,0.15,0.7072,0.05,2022-05-19 10:30:00
2022-05-19,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1652939400,1652939760,15904.35,15887.9,-16.45,0.0,Thursday,1,15936.1587,15888.44565,15,1,-1,0,1652939400,True,0,GAP_DOWN,5,1.0,0.03,-0.01,0.01,-0.06,4.350000000000364,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.24,0.43,0.33,-1,0.39,0.03,0.0,0.97,0.19,1,0.0021,0.69,1,0,0,1,0,[1652939160],"[[15927.65, 15927.95, 15904.35, 15904.35]]",100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184,-0.9239,0.87,0.95,0.35,0.4873,-0.1373,0.76,0.21,0.7698,0.055,2022-05-19 11:20:00
