day,symbol,strategy,signal_id,trigger,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,open_type,tpo,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,five_min_ex_first_hr_trend,fifteen_min_ex_first_hr_trend,hurst_exp_15,hurst_exp_5,ret_trend,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,pattern_time,pattern_price,pattern_location,lw_total_energy_pyr,lw_total_energy_ht,lw_static_ratio,lw_dynamic_ratio,lw_d_en_ht,lw_s_en_ht,lw_d_en_pyr,lw_s_en_pyr,entry_time_read
2021-07-16,NIFTY,STATE_SELL_1_360,SIG_1,19,1626407160,1626407160,15943.75,15943.75,0.0,0.0,Friday,19,16034.0,15954.0,360,1,1,0,1626407160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,43.75,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[1626407160],[15943.75],0,0,0,0,0,0,0,0,0,2021-07-16 09:16:00
2021-07-16,NIFTY,STATE_SELL_1_360,SIG_1,20,1626407160,1626407160,15943.75,15943.75,0.0,0.0,Friday,20,16049.0,15930.0,360,1,1,0,1626407160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,43.75,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[1626407160],[15943.75],0,0,0,0,0,0,0,0,0,2021-07-16 09:16:00
2021-07-16,NIFTY,STATE_SELL_1_360,SIG_1,21,1626407160,1626407160,15943.75,15943.75,0.0,0.0,Friday,21,16065.0,15906.0,360,1,1,0,1626407160,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,43.75,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[1626407160],[15943.75],0,0,0,0,0,0,0,0,0,2021-07-16 09:16:00
2021-07-13,NIFTY,STATE_SELL_1_360,SIG_1,1,1626147960,1626169560,15760.0,15814.6,-54.6,-0.0,Tuesday,1,15573.0,16078.0,360,1,0,0,1626147960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-40.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,[1626147960],[15760.0],0,0,0,0,0,0,0,0,0,2021-07-13 09:16:00
2021-07-13,NIFTY,STATE_SELL_1_360,SIG_1,2,1626147960,1626169560,15760.0,15814.6,-54.6,-0.0,Tuesday,2,15589.0,16062.0,360,1,0,0,1626147960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-40.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,[1626147960],[15760.0],0,0,0,0,0,0,0,0,0,2021-07-13 09:16:00
2021-07-13,NIFTY,STATE_SELL_1_360,SIG_1,3,1626147960,1626169560,15760.0,15814.6,-54.6,-0.0,Tuesday,3,15604.0,16046.0,360,1,0,0,1626147960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-40.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,[1626147960],[15760.0],0,0,0,0,0,0,0,0,0,2021-07-13 09:16:00
2021-07-13,NIFTY,STATE_SELL_1_360,SIG_1,4,1626147960,1626169560,15760.0,15814.6,-54.6,-0.0,Tuesday,4,15620.0,16030.0,360,1,0,0,1626147960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-40.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,[1626147960],[15760.0],0,0,0,0,0,0,0,0,0,2021-07-13 09:16:00
2021-07-13,NIFTY,STATE_SELL_1_360,SIG_1,5,1626147960,1626169560,15760.0,15814.6,-54.6,-0.0,Tuesday,5,15636.0,16014.0,360,1,0,0,1626147960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-40.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,[1626147960],[15760.0],0,0,0,0,0,0,0,0,0,2021-07-13 09:16:00
2021-07-13,NIFTY,STATE_SELL_1_360,SIG_1,6,1626147960,1626169560,15760.0,15814.6,-54.6,-0.0,Tuesday,6,15652.0,15999.0,360,1,0,0,1626147960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-40.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,[1626147960],[15760.0],0,0,0,0,0,0,0,0,0,2021-07-13 09:16:00
2021-07-13,NIFTY,STATE_SELL_1_360,SIG_1,7,1626147960,1626169560,15760.0,15814.6,-54.6,-0.0,Tuesday,7,15667.0,15983.0,360,1,0,0,1626147960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-40.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,[1626147960],[15760.0],0,0,0,0,0,0,0,0,0,2021-07-13 09:16:00
2021-07-13,NIFTY,STATE_SELL_1_360,SIG_1,8,1626147960,1626169560,15760.0,15814.6,-54.6,-0.0,Tuesday,8,15683.0,15967.0,360,1,0,0,1626147960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-40.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,[1626147960],[15760.0],0,0,0,0,0,0,0,0,0,2021-07-13 09:16:00
2021-07-13,NIFTY,STATE_SELL_1_360,SIG_1,9,1626147960,1626169560,15760.0,15814.6,-54.6,-0.0,Tuesday,9,15699.0,15951.0,360,1,0,0,1626147960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-40.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,[1626147960],[15760.0],0,0,0,0,0,0,0,0,0,2021-07-13 09:16:00
2021-07-13,NIFTY,STATE_SELL_1_360,SIG_1,10,1626147960,1626169560,15760.0,15814.6,-54.6,-0.0,Tuesday,10,15715.0,15936.0,360,1,0,0,1626147960,True,0,,0,0,0,0,0,0,0,-100,-100,-100,0,-40.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,[1626147960],[15760.0],0,0,0,0,0,0,0,0,0,2021-07-13 09:16:00
