day,symbol,strategy,signal_id,trigger,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,open_type,tpo,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,five_min_ex_first_hr_trend,fifteen_min_ex_first_hr_trend,hurst_exp_15,hurst_exp_5,ret_trend,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,pattern_time,pattern_price,pattern_location,lw_total_energy_pyr,lw_total_energy_ht,lw_static_ratio,lw_dynamic_ratio,lw_d_en_ht,lw_s_en_ht,lw_d_en_pyr,lw_s_en_pyr,entry_time_read
2022-01-20,NIFTY,CDLENGULFING_SELL_5_20,SIG_1,1,1642653300,1642654500,17855.65,17834.45,21.2,0.0,Thursday,1,17819.938700000002,17873.50565,20,1,0,0,1642653300,True,0,5147.876249999627,42.8989687499969,6.764532504171791,0.0,-0.24,-3.316298136979303,0.0,-10.31046874999912,0.0,INSIDE_VA,1,-0.2,0,-0.2,-0.19,0,0,-100,-100,-100,0,-44.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642653060],"[[17867.0, 17884.5, 17854.25, 17855.65]]",4.0000000000000036,2.015625,1.466287829861518,0.0,1.0,1.466287829861518,0.0,2.015625,0.0,2022-01-20 10:05:00
2022-01-20,NIFTY,CDL3OUTSIDE_SELL_5_20,SIG_1,1,1642653600,1642654800,17849.35,17842.8,6.55,0.0,Thursday,1,17813.651299999998,17867.199349999995,20,1,0,0,1642653600,True,0,5574.071249999649,46.450593749997076,7.0389843017296805,0.03,-0.27,-3.650700637389437,1.2077326647470221,-12.494639197345913,1.367454552653384,INSIDE_VA,1,-0.25,0,-0.25,-0.25,0,0,-100,-100,-100,0,49.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642653360],"[[17855.45, 17859.3, 17844.45, 17849.35]]",7.272727272727275,2.015625,1.466287829861518,0.0,1.0,1.466287829861518,0.0,2.015625,0.0,2022-01-20 10:10:00
2022-01-20,NIFTY,CDLSHORTLINE_SELL_5_20,SIG_1,1,1642653600,1642654800,17849.35,17842.8,6.55,0.0,Thursday,1,17813.651299999998,17867.199349999995,20,1,0,0,1642653600,True,0,5574.071249999649,46.450593749997076,7.0389843017296805,0.03,-0.27,-3.650700637389437,1.2077326647470221,-12.494639197345913,1.367454552653384,INSIDE_VA,1,-0.25,0,-0.25,-0.25,0,0,-100,-100,-100,0,49.349999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642653360],"[[17855.45, 17859.3, 17844.45, 17849.35]]",7.272727272727275,2.015625,1.466287829861518,0.0,1.0,1.466287829861518,0.0,2.015625,0.0,2022-01-20 10:10:00
2022-01-19,NIFTY,CDLENGULFING_BUY_5_20,SIG_1,1,1642566600,1642566780,18048.45,18030.05,-18.4,0.0,Wednesday,1,18084.5469,18030.401550000002,20,1,-1,0,1642566600,True,0,18271.621249999956,152.2635104166663,12.744191269402336,0.0,-0.28,-6.724628862125516,0.0,-42.39434374999829,0.0,BELOW_VA,1,-0.02,0,0.0,-0.08,0,0,-100,-100,-100,0,48.45000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642566360],"[[18020.7, 18048.45, 18019.9, 18048.45]]",66.66666666666667,27.742958333334816,5.439897874858541,0.0,1.0,5.439897874858541,0.0,27.742958333334816,0.0,2022-01-19 10:00:00
2022-01-19,NIFTY,CDLDOJI_BUY_5_20,SIG_1,1,1642567200,1642568100,18042.45,18003.5,-38.95,0.0,Wednesday,1,18078.534900000002,18024.40755,20,1,-1,0,1642567200,True,0,19010.501249999994,158.42084374999996,12.99931664870632,0.01,-0.24,-6.3956473174270725,0.9599397272616274,-38.347785570855095,0.863891512476682,BELOW_VA,1,0.05,0,0.05,0.06,0,0,-100,-100,-100,0,42.45000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642566960],"[[18041.45, 18045.25, 18028.2, 18042.45]]",65.45454545454545,1.4873333333335625,1.2595590057195152,0.58,0.42,0.8154781474165974,0.9599397272616274,0.6234418208568805,0.863891512476682,2022-01-19 10:10:00
2022-01-19,NIFTY,CDLDRAGONFLYDOJI_BUY_5_20,SIG_1,1,1642567200,1642568100,18042.45,18003.5,-38.95,0.0,Wednesday,1,18078.534900000002,18024.40755,20,1,-1,0,1642567200,True,0,19010.501249999994,158.42084374999996,12.99931664870632,0.01,-0.24,-6.3956473174270725,0.9599397272616274,-38.347785570855095,0.863891512476682,BELOW_VA,1,0.05,0,0.05,0.06,0,0,-100,-100,-100,0,42.45000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642566960],"[[18041.45, 18045.25, 18028.2, 18042.45]]",65.45454545454545,1.4873333333335625,1.2595590057195152,0.58,0.42,0.8154781474165974,0.9599397272616274,0.6234418208568805,0.863891512476682,2022-01-19 10:10:00
2022-01-19,NIFTY,CDLHIGHWAVE_BUY_5_20,SIG_1,1,1642567200,1642568100,18042.45,18003.5,-38.95,0.0,Wednesday,1,18078.534900000002,18024.40755,20,1,-1,0,1642567200,True,0,19010.501249999994,158.42084374999996,12.99931664870632,0.01,-0.24,-6.3956473174270725,0.9599397272616274,-38.347785570855095,0.863891512476682,BELOW_VA,1,0.05,0,0.05,0.06,0,0,-100,-100,-100,0,42.45000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642566960],"[[18041.45, 18045.25, 18028.2, 18042.45]]",65.45454545454545,1.4873333333335625,1.2595590057195152,0.58,0.42,0.8154781474165974,0.9599397272616274,0.6234418208568805,0.863891512476682,2022-01-19 10:10:00
2022-01-19,NIFTY,CDLLONGLEGGEDDOJI_BUY_5_20,SIG_1,1,1642567200,1642568100,18042.45,18003.5,-38.95,0.0,Wednesday,1,18078.534900000002,18024.40755,20,1,-1,0,1642567200,True,0,19010.501249999994,158.42084374999996,12.99931664870632,0.01,-0.24,-6.3956473174270725,0.9599397272616274,-38.347785570855095,0.863891512476682,BELOW_VA,1,0.05,0,0.05,0.06,0,0,-100,-100,-100,0,42.45000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642566960],"[[18041.45, 18045.25, 18028.2, 18042.45]]",65.45454545454545,1.4873333333335625,1.2595590057195152,0.58,0.42,0.8154781474165974,0.9599397272616274,0.6234418208568805,0.863891512476682,2022-01-19 10:10:00
2022-01-19,NIFTY,CDLRICKSHAWMAN_BUY_5_20,SIG_1,1,1642567200,1642568100,18042.45,18003.5,-38.95,0.0,Wednesday,1,18078.534900000002,18024.40755,20,1,-1,0,1642567200,True,0,19010.501249999994,158.42084374999996,12.99931664870632,0.01,-0.24,-6.3956473174270725,0.9599397272616274,-38.347785570855095,0.863891512476682,BELOW_VA,1,0.05,0,0.05,0.06,0,0,-100,-100,-100,0,42.45000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642566960],"[[18041.45, 18045.25, 18028.2, 18042.45]]",65.45454545454545,1.4873333333335625,1.2595590057195152,0.58,0.42,0.8154781474165974,0.9599397272616274,0.6234418208568805,0.863891512476682,2022-01-19 10:10:00
2022-01-19,NIFTY,CDLSPINNINGTOP_BUY_5_20,SIG_1,1,1642567200,1642568100,18042.45,18003.5,-38.95,0.0,Wednesday,1,18078.534900000002,18024.40755,20,1,-1,0,1642567200,True,0,19010.501249999994,158.42084374999996,12.99931664870632,0.01,-0.24,-6.3956473174270725,0.9599397272616274,-38.347785570855095,0.863891512476682,BELOW_VA,1,0.05,0,0.05,0.06,0,0,-100,-100,-100,0,42.45000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642566960],"[[18041.45, 18045.25, 18028.2, 18042.45]]",65.45454545454545,1.4873333333335625,1.2595590057195152,0.58,0.42,0.8154781474165974,0.9599397272616274,0.6234418208568805,0.863891512476682,2022-01-19 10:10:00
2022-01-19,NIFTY,CDLTAKURI_BUY_5_20,SIG_1,1,1642567200,1642568100,18042.45,18003.5,-38.95,0.0,Wednesday,1,18078.534900000002,18024.40755,20,1,-1,0,1642567200,True,0,19010.501249999994,158.42084374999996,12.99931664870632,0.01,-0.24,-6.3956473174270725,0.9599397272616274,-38.347785570855095,0.863891512476682,BELOW_VA,1,0.05,0,0.05,0.06,0,0,-100,-100,-100,0,42.45000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642566960],"[[18041.45, 18045.25, 18028.2, 18042.45]]",65.45454545454545,1.4873333333335625,1.2595590057195152,0.58,0.42,0.8154781474165974,0.9599397272616274,0.6234418208568805,0.863891512476682,2022-01-19 10:10:00
2022-01-18,NIFTY,CDLENGULFING_BUY_5_20,SIG_1,1,1642479600,1642479960,18277.75,18251.0,-26.75,0.0,Tuesday,1,18314.3055,18259.47225,20,1,-1,0,1642479600,True,0,4555.717499999838,37.96431249999865,6.363589134023757,0.0,-0.89,-6.011215443744315,0.0,-33.87629166666577,0.0,GAP_UP,1,-0.22,0,-0.21,-0.25,0,0,-100,-100,-100,0,-22.25,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,[1642479360],"[[18256.35, 18279.25, 18246.3, 18277.75]]",31.428571428571427,35.92030208333221,6.1899102488556075,0.0,1.0,6.1899102488556075,0.0,35.92030208333221,0.0,2022-01-18 09:50:00
2022-01-17,NIFTY,CDLHIKKAKE_BUY_5_20,SIG_1,1,1642393200,1642394400,18253.5,18283.2,29.7,-0.0,Monday,1,18290.007,18235.2465,20,1,0,0,1642393200,True,0,2961.6962499998995,24.680802083332495,5.130905269919529,0.0,-0.44,-3.4222588381879095,0.0,-10.97986458333306,0.0,ABOVE_VA,1,-0.07,0,-0.07,-0.08,0,0,-100,-100,-100,0,-46.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642392960],"[[18262.25, 18262.25, 18237.05, 18253.5]]",17.14285714285714,2.65546875,1.6830032679706834,0.0,1.0,1.6830032679706834,0.0,2.65546875,0.0,2022-01-17 09:50:00
2022-01-17,NIFTY,CDLHIKKAKE_BUY_5_20,SIG_2,1,1642394100,1642395300,18279.85,18285.15,5.3,-0.0,Monday,1,18316.4097,18261.57015,20,1,0,0,1642394100,True,0,3599.106249999868,29.99255208333223,5.656152009586941,0.0,-0.24,-2.774877374667909,0.0,-7.218697916666126,0.0,ABOVE_VA,1,0.07,0,0.05,0.12,0,0,-100,-100,-100,0,-20.150000000001455,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[1642393860],"[[18261.35, 18284.25, 18261.35, 18279.85]]",78.0,3.253968749999322,1.8630351580148123,0.0,1.0,1.8630351580148123,0.0,3.253968749999322,0.0,2022-01-17 10:05:00
2022-01-17,NIFTY,CDLSPINNINGTOP_BUY_5_20,SIG_1,1,1642394400,1642395600,18283.2,18272.15,-11.05,-0.0,Monday,1,18319.7664,18264.9168,20,1,0,0,1642394400,True,0,4101.137499999868,34.176145833332235,6.037760806421067,0.05,-0.14,-2.228244168194593,1.3143924941391538,-4.654755068524888,1.619650901858762,ABOVE_VA,1,0.11,0,0.07,0.25,0,0,-100,-100,-100,0,-16.799999999999272,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[1642394160],"[[18279.6, 18288.95, 18269.3, 18283.2]]",81.81818181818181,6.799624999999265,2.6931270548068373,0.06,0.94,2.608667505264008,0.6691690222299637,6.379824518456572,0.41980048154269284,2022-01-17 10:10:00
2022-01-13,NIFTY,CDLHIKKAKE_BUY_5_20,SIG_1,1,1642048500,1642049040,18209.35,18190.7,-18.65,-0.0,Thursday,1,18245.768699999997,18191.140649999998,20,1,-1,0,1642048500,True,0,2388.70999999999,19.905916666666585,4.607925539521845,0.0,0.44,3.059491606278637,0.0,8.775458333333846,0.0,GAP_UP,1,-0.14,0,-0.15,-0.12,0,0,-100,-100,-100,0,9.349999999998545,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[1642048260],"[[18242.45, 18244.2, 18200.4, 18209.35]]",4.0000000000000036,3.637302083333154,1.9697179719159539,0.0,1.0,1.9697179719159539,0.0,3.637302083333154,0.0,2022-01-13 10:05:00
