day,symbol,strategy,signal_id,trigger,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,open_type,tpo,five_min_ex_first_hr_trend,fifteen_min_ex_first_hr_trend,hurst_exp_15,hurst_exp_5,ret_trend,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,pattern_time,pattern_price,pattern_location,entry_time_read
2022-12-05,NIFTY,BEAR_TREND_5_SELL_15,SIG_12,1,1670213520,1670213820,18658.2,18639.35,18.85,-0.0,Monday,1,18639.5418,18676.8582,15,1,1,0,1670213520,True,-0.06,0,-0.04,-0.12,ABOVE_VA,1,0,0,-100,-100,-100,0,-41.79999999999927,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1670213520,[18658.2],-100,2022-12-05 09:42:00
2022-12-02,NIFTY,BEAR_TREND_5_SELL_15,SIG_1,1,1669953540,1669954440,18728.15,18713.15,15.0,0.0,Friday,1,18709.421850000002,18746.87815,15,1,0,0,1669953540,True,-0.31,0,-0.33,-0.25,GAP_DOWN,1,0,0,-100,-100,-100,0,28.150000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1669953540,[18728.15],-100,2022-12-02 09:29:00
2022-12-02,NIFTY,BEAR_TREND_5_SELL_15,SIG_2,1,1669953600,1669954500,18726.85,18711.75,15.1,0.0,Friday,1,18708.12315,18745.576849999998,15,1,0,0,1669953600,True,-0.31,0,-0.33,-0.25,GAP_DOWN,1,0,0,-100,-100,-100,0,26.849999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1669953600,[18726.85],-100,2022-12-02 09:30:00
2022-12-02,NIFTY,BEAR_TREND_5_SELL_15,SIG_3,1,1669953660,1669954440,18733.1,18713.15,19.95,0.0,Friday,1,18714.366899999997,18751.833099999996,15,1,1,0,1669953660,True,-0.12,0,-0.12,-0.12,GAP_DOWN,1,0,0,-100,-100,-100,0,33.099999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1669953660,[18733.1],-100,2022-12-02 09:31:00
2022-12-02,NIFTY,BEAR_TREND_5_SELL_15,SIG_4,1,1669953720,1669954440,18738.95,18713.15,25.8,0.0,Friday,1,18720.21105,18757.68895,15,1,1,0,1669953720,True,-0.12,0,-0.12,-0.12,GAP_DOWN,1,0,0,-100,-100,-100,0,38.95000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1669953720,[18738.95],-100,2022-12-02 09:32:00
2022-12-02,NIFTY,BEAR_TREND_5_SELL_15,SIG_5,1,1669953780,1669954200,18743.85,18721.95,21.9,0.0,Friday,1,18725.10615,18762.593849999997,15,1,1,0,1669953780,True,-0.12,0,-0.12,-0.12,GAP_DOWN,1,0,0,-100,-100,-100,0,43.849999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1669953780,[18743.85],-100,2022-12-02 09:33:00
2022-12-02,NIFTY,BEAR_TREND_5_SELL_15,SIG_6,1,1669953840,1669954440,18736.05,18713.15,22.9,0.0,Friday,1,18717.31395,18754.78605,15,1,1,0,1669953840,True,-0.12,0,-0.12,-0.12,GAP_DOWN,1,0,0,-100,-100,-100,0,36.04999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1669953840,[18736.05],-100,2022-12-02 09:34:00
2022-12-02,NIFTY,BEAR_TREND_5_SELL_15,SIG_7,1,1669954260,1669955160,18727.8,18703.75,24.05,0.0,Friday,1,18709.0722,18746.527799999996,15,1,1,0,1669954260,True,-0.19,0,-0.08,-0.5,GAP_DOWN,1,0,0,-100,-100,-100,0,27.799999999999272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1669954260,[18727.8],-100,2022-12-02 09:41:00
2022-12-02,NIFTY,BEAR_TREND_5_SELL_15,SIG_8,1,1669954320,1669955160,18728.7,18703.75,24.95,0.0,Friday,1,18709.9713,18747.4287,15,1,1,0,1669954320,True,-0.19,0,-0.08,-0.5,GAP_DOWN,1,0,0,-100,-100,-100,0,28.700000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1669954320,[18728.7],-100,2022-12-02 09:42:00
2022-11-30,NIFTY,BEAR_TREND_5_SELL_15,SIG_1,1,1669780740,1669781640,18654.8,18642.6,12.2,-0.0,Wednesday,1,18636.1452,18673.454799999996,15,1,0,0,1669780740,True,-0.06,0,-0.08,0.0,INSIDE_VA,1,0,0,-100,-100,-100,0,-45.20000000000073,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1669780740,[18654.8],-100,2022-11-30 09:29:00
2022-11-30,NIFTY,BEAR_TREND_5_SELL_15,SIG_2,1,1669780800,1669781580,18660.5,18639.55,20.95,-0.0,Wednesday,1,18641.8395,18679.160499999998,15,1,1,0,1669780800,True,-0.06,0,-0.08,0.0,INSIDE_VA,1,0,0,-100,-100,-100,0,-39.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1669780800,[18660.5],-100,2022-11-30 09:30:00
2022-11-30,NIFTY,BEAR_TREND_5_SELL_15,SIG_3,1,1669780860,1669781700,18656.05,18630.5,25.55,-0.0,Wednesday,1,18637.393949999998,18674.706049999997,15,1,1,0,1669780860,True,-0.05,0,-0.06,0.0,INSIDE_VA,1,0,0,-100,-100,-100,0,-43.95000000000073,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1669780860,[18656.05],-100,2022-11-30 09:31:00
2022-11-30,NIFTY,BEAR_TREND_5_SELL_15,SIG_4,1,1669780920,1669781580,18660.3,18639.55,20.75,-0.0,Wednesday,1,18641.6397,18678.9603,15,1,1,0,1669780920,True,-0.05,0,-0.06,0.0,INSIDE_VA,1,0,0,-100,-100,-100,0,-39.70000000000073,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1669780920,[18660.3],-100,2022-11-30 09:32:00
2022-11-30,NIFTY,BEAR_TREND_5_SELL_15,SIG_5,1,1669781100,1669781580,18660.3,18639.55,20.75,-0.0,Wednesday,1,18641.6397,18678.9603,15,1,1,0,1669781100,True,-0.04,0,-0.05,0.0,INSIDE_VA,1,0,0,-100,-100,-100,0,-39.70000000000073,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1669781100,[18660.3],-100,2022-11-30 09:35:00
2022-11-30,NIFTY,BEAR_TREND_5_SELL_15,SIG_6,1,1669781160,1669781700,18655.2,18630.5,24.7,-0.0,Wednesday,1,18636.5448,18673.855199999998,15,1,1,0,1669781160,True,-0.04,0,-0.05,0.0,INSIDE_VA,1,0,0,-100,-100,-100,0,-44.79999999999927,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1669781160,[18655.2],-100,2022-11-30 09:36:00
2022-11-30,NIFTY,BEAR_TREND_5_SELL_15,SIG_7,1,1669781220,1669781700,18649.3,18630.5,18.8,-0.0,Wednesday,1,18630.6507,18667.949299999997,15,1,1,0,1669781220,True,-0.1,0,-0.05,-0.25,INSIDE_VA,1,0,0,-100,-100,-100,0,49.29999999999927,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1669781220,[18649.3],-100,2022-11-30 09:37:00
2022-11-30,NIFTY,BEAR_TREND_5_SELL_15,SIG_8,1,1669781280,1669782120,18645.1,18626.2,18.9,-0.0,Wednesday,1,18626.454899999997,18663.745099999996,15,1,1,0,1669781280,True,-0.1,0,-0.05,-0.25,INSIDE_VA,1,0,0,-100,-100,-100,0,45.099999999998545,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1669781280,[18645.1],-100,2022-11-30 09:38:00
2022-11-30,NIFTY,BEAR_TREND_5_SELL_15,SIG_9,1,1669781340,1669782240,18642.45,18620.3,22.15,-0.0,Wednesday,1,18623.80755,18661.09245,15,1,1,0,1669781340,True,-0.1,0,-0.05,-0.25,INSIDE_VA,1,0,0,-100,-100,-100,0,42.45000000000073,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1669781340,[18642.45],-100,2022-11-30 09:39:00
