day,symbol,strategy,signal_id,trigger,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,pattern_quad,pattern_lin,pattern_quad_r2,pattern_lin_r2,pattern_market_auc,pattern_trend_auc,pattern_auc_del,infl_0,infl_n,open_type,tpo,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,five_min_ex_first_hr_trend,fifteen_min_ex_first_hr_trend,hurst_exp_15,hurst_exp_5,ret_trend,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,pattern_time,pattern_price,pattern_location,lw_total_energy_pyr,lw_total_energy_ht,lw_static_ratio,lw_dynamic_ratio,lw_d_en_ht,lw_s_en_ht,lw_d_en_pyr,lw_s_en_pyr,entry_time_read
2022-01-27,NIFTY,CDLLONGLEGGEDDOJI_BUY_5_20,SIG_1,1,1643260200,1643260860,16988.55,16966.55,-22.0,-0.0,Thursday,1,17022.5271,16971.56145,20,1,-1,0,1643260200,True,0,23638.11499999946,196.98429166666216,14.495398503586335,0.27,-0.09,-4.4435575473739,7.475062080589134,-18.51112844702208,52.3842685393702,-0.2279,0.2704,0.98,0.92,0.41,0.412,-0.002,0.71,0.11,0.6227,0.0249,2.0827,-0.1167,-2.2,-1.39,0.9994,1.0001,-0.0006,17001.25,17004.15,INSIDE_VA,2,0.03,0.01,0.01,0.0,-0.05,0.0,-0.51,-1.41,0.49,1.0,-11.450000000000728,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1643259960],"[[16988.6, 17009.4, 16987.55, 16988.55]]",43.529411764705884,4.900999999999792,2.286423699433924,0.48,0.52,1.6526334494483665,1.5800430421661,2.560497485845881,2.3405025141539104,2022-01-27 10:40:00
2022-01-27,NIFTY,CDLSHOOTINGSTAR_SELL_5_20,SIG_1,1,1643260200,1643261400,16988.55,16957.05,31.5,-0.0,Thursday,1,16954.5729,17005.538549999997,20,1,0,0,1643260200,True,0,23638.11499999946,196.98429166666216,14.495398503586335,0.27,-0.09,-4.4435575473739,7.475062080589134,-18.51112844702208,52.3842685393702,-0.2279,0.2704,0.98,0.92,0.41,0.412,-0.002,0.71,0.11,0.6227,0.0249,2.0827,-0.1167,-2.2,-1.39,0.9994,1.0001,-0.0006,17001.25,17004.15,INSIDE_VA,2,0.03,0.01,0.01,0.0,-0.05,0.0,-0.51,-1.41,0.49,1.0,-11.450000000000728,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1643259960],"[[16988.6, 17009.4, 16987.55, 16988.55]]",43.529411764705884,4.900999999999792,2.286423699433924,0.48,0.52,1.6526334494483665,1.5800430421661,2.560497485845881,2.3405025141539104,2022-01-27 10:40:00
2022-01-27,NIFTY,CDLSPINNINGTOP_SELL_5_20,SIG_1,1,1643260200,1643261400,16988.55,16957.05,31.5,-0.0,Thursday,1,16954.5729,17005.538549999997,20,1,0,0,1643260200,True,0,23638.11499999946,196.98429166666216,14.495398503586335,0.27,-0.09,-4.4435575473739,7.475062080589134,-18.51112844702208,52.3842685393702,-0.2279,0.2704,0.98,0.92,0.41,0.412,-0.002,0.71,0.11,0.6227,0.0249,2.0827,-0.1167,-2.2,-1.39,0.9994,1.0001,-0.0006,17001.25,17004.15,INSIDE_VA,2,0.03,0.01,0.01,0.0,-0.05,0.0,-0.51,-1.41,0.49,1.0,-11.450000000000728,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1643259960],"[[16988.6, 17009.4, 16987.55, 16988.55]]",43.529411764705884,4.900999999999792,2.286423699433924,0.48,0.52,1.6526334494483665,1.5800430421661,2.560497485845881,2.3405025141539104,2022-01-27 10:40:00
2022-01-27,NIFTY,CDLSPINNINGTOP_BUY_5_20,SIG_2,1,1643260500,1643260860,16993.1,16966.55,-26.55,-0.0,Thursday,1,17027.086199999998,16976.1069,20,1,-1,0,1643260500,True,0,23839.994999999504,198.66662499999586,14.557165475004474,0.27,-0.09,-4.466290556503563,7.580797737656735,-18.701016876668348,53.87671344305763,-0.1749,0.1152,0.99,0.96,0.42,0.4273,-0.0073,0.73,0.12,0.6403,0.0417,1.4171,-0.0907,-1.75,-1.0,0.9994,0.9995,-0.0001,17001.25,16984.55,INSIDE_VA,3,0.03,-0.01,-0.01,0.0,-0.12,0.0,-0.58,-1.72,0.5,1.0,-6.900000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1643260260],"[[16989.6, 17001.2, 16983.15, 16993.1]]",48.88888888888889,1.682333333333699,1.3395853421448292,0.89,0.11,0.45005295053954575,1.2617215344916357,0.18988842964626637,1.4924449036874325,2022-01-27 10:45:00
2022-01-27,NIFTY,CDLCLOSINGMARUBOZU_SELL_5_20,SIG_1,1,1643260800,1643262000,16976.6,16961.15,15.45,-0.0,Thursday,1,16942.6468,16993.576599999997,20,1,0,0,1643260800,True,0,24039.851249999523,200.33209374999603,14.618056186328689,0.28,-0.09,-4.491016825606568,7.682676196905167,-18.908655119888717,55.33454394983741,-0.1306,-0.0301,1.0,0.98,0.43,0.4566,-0.0266,0.76,0.15,0.661,0.0649,1.4171,-0.0907,-1.75,-1.0,0.9994,0.9995,-0.0001,17001.25,16984.55,INSIDE_VA,3,0.03,-0.02,0.0,-0.07,-0.07,-0.17,-0.63,-1.92,0.54,1.0,-23.400000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1643260560],"[[16992.75, 16996.25, 16975.9, 16976.6]]",29.47368421052632,1.682333333333699,1.3395853421448292,0.89,0.11,0.45005295053954575,1.2617215344916357,0.18988842964626637,1.4924449036874325,2022-01-27 10:50:00
2022-01-27,NIFTY,CDLLONGLINE_SELL_5_20,SIG_1,1,1643260800,1643262000,16976.6,16961.15,15.45,-0.0,Thursday,1,16942.6468,16993.576599999997,20,1,0,0,1643260800,True,0,24039.851249999523,200.33209374999603,14.618056186328689,0.28,-0.09,-4.491016825606568,7.682676196905167,-18.908655119888717,55.33454394983741,-0.1306,-0.0301,1.0,0.98,0.43,0.4566,-0.0266,0.76,0.15,0.661,0.0649,1.4171,-0.0907,-1.75,-1.0,0.9994,0.9995,-0.0001,17001.25,16984.55,INSIDE_VA,3,0.03,-0.02,0.0,-0.07,-0.07,-0.17,-0.63,-1.92,0.54,1.0,-23.400000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1643260560],"[[16992.75, 16996.25, 16975.9, 16976.6]]",29.47368421052632,1.682333333333699,1.3395853421448292,0.89,0.11,0.45005295053954575,1.2617215344916357,0.18988842964626637,1.4924449036874325,2022-01-27 10:50:00
2022-01-27,NIFTY,CDLSHORTLINE_SELL_5_20,SIG_2,1,1643261100,1643262300,16969.5,16971.7,-2.2,-0.0,Thursday,1,16935.561,16986.4695,20,1,0,0,1643261100,True,0,24363.794999999544,203.03162499999618,14.716217811199405,0.28,-0.1,-4.548855060722736,7.8345493368101184,-19.398827215746426,57.54390310397988,-0.0838,-0.1475,1.0,0.99,0.43,0.4674,-0.0374,0.76,0.18,0.6674,0.0685,0.5715,-0.0524,-0.58,-0.16,0.9993,0.999,0.0004,17001.25,16966.55,INSIDE_VA,3,0.03,-0.01,0.0,-0.04,-0.06,-0.08,-0.59,-2.06,0.55,1.0,-30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[1643260860],"[[16977.2, 16979.35, 16965.1, 16969.5]]",24.0,6.047333333334026,2.5397812679224225,0.85,0.15,0.9730769171238731,2.345977451351638,0.8876987687243447,5.159634564609681,2022-01-27 10:55:00
2022-01-27,NIFTY,CDLSHORTLINE_SELL_5_20,SIG_3,1,1643261400,1643262600,16957.05,16961.45,-4.4,-0.0,Thursday,1,16923.135899999997,16974.007049999997,20,1,0,0,1643261400,True,0,24878.009999999605,207.31674999999672,14.870704982167561,0.29,-0.1,-4.668089828962518,8.053072893194992,-20.429121235559354,60.79873408416747,-0.0351,-0.2885,0.98,0.99,0.43,0.4826,-0.0526,0.77,0.2,0.6833,0.0793,0.2494,-0.0365,-0.26,0.0,0.9993,0.9988,0.0005,17001.25,16960.25,INSIDE_VA,3,0.03,-0.04,-0.02,-0.07,-0.11,-0.17,-0.37,-2.24,0.62,1.0,-42.95000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[1643261160],"[[16969.25, 16972.2, 16952.2, 16957.05]]",10.476190476190473,6.047333333334026,2.5397812679224225,0.85,0.15,0.9730769171238731,2.345977451351638,0.8876987687243447,5.159634564609681,2022-01-27 11:00:00
2022-01-27,NIFTY,CDLXSIDEGAP3METHODS_SELL_5_20,SIG_1,1,1643261700,1643262900,16969.6,16958.2,11.4,-0.0,Thursday,1,16935.660799999998,16986.569599999995,20,1,0,0,1643261700,True,0,25677.221249999566,213.9768437499964,15.107679062869412,0.3,-0.1,-4.670531802112678,8.33314444432314,-20.450500607386783,65.10121530933152,-0.0253,-0.3213,0.98,0.99,0.44,0.5014,-0.0614,0.78,0.22,0.6861,0.0913,-0.1123,-0.0193,-0.01,0.06,0.9992,0.9984,0.0008,17001.25,16946.75,INSIDE_VA,3,0.03,-0.01,0.0,-0.03,-0.05,-0.06,-0.56,-2.29,0.62,1.0,-30.400000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[1643261460],"[[16957.25, 16973.55, 16943.85, 16969.6]]",30.000000000000004,13.967333333334036,3.859856071007006,0.78,0.22,1.820619304703771,3.4035032299425834,3.10748873686879,10.859844596465246,2022-01-27 11:05:00
2022-01-27,NIFTY,CDLSHORTLINE_SELL_5_20,SIG_4,1,1643262000,1643263200,16961.15,16947.5,13.65,-0.0,Thursday,1,16927.227700000003,16978.11115,20,1,0,0,1643262000,True,0,25677.221249999566,213.9768437499964,15.107679062869412,0.3,-0.1,-4.670531802112678,8.33314444432314,-20.450500607386783,65.10121530933152,-0.0494,-0.2323,0.98,0.98,0.43,0.4846,-0.0546,0.75,0.22,0.6677,0.0704,-0.0415,-0.0226,-0.07,0.08,0.9992,0.9992,0.0,17001.25,16973.2,INSIDE_VA,3,0.03,-0.02,-0.01,-0.03,-0.07,-0.06,-0.91,-2.25,0.62,1.0,-38.849999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[1643261760],"[[16970.7, 16975.95, 16957.8, 16961.15]]",17.391304347826086,3.0252187500001635,1.7963574254585792,0.61,0.39,1.116239676296133,1.4074476846627297,1.1681165765040902,1.8571021734960733,2022-01-27 11:10:00
