day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,open_type,tpo,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,pattern_time,pattern_price,strength,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,entry_time_read
2022-06-10,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1654844400,1654845000,16242.4,16225.25,-17.15,0.0,Friday,1,16274.8848,16226.1576,15,1,-1,0,1654844400,True,0,BELOW_VA,7,0.56,-0.02,-0.01,0.03,-0.13,0.0556,-0.4709,0.95,0.99,0.5,0.5745,-0.0745,0.81,0.34,0.6992,0.1605,42.399999999999636,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.08,0.04,0.88,1,0.8,0.19,0.18,0.63,0.9,-1,-0.0018,0.68,1,1,1,1,1,[1654844160],"[[16245.35, 16246.65, 16239.95, 16242.4]]",100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022-06-10 12:30:00
2022-06-10,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1654853400,1654854300,16200.15,16211.9,11.75,0.0,Friday,1,16232.550299999999,16183.949849999999,15,1,0,0,1654853400,True,0,BELOW_VA,12,0.26,-0.02,-0.05,-0.01,-0.16,0.0131,-0.3255,0.97,1.0,0.47,0.5298,-0.0598,0.74,0.32,0.6179,0.0857,0.1499999999996362,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.08,0.04,0.88,1,0.8,0.19,0.18,0.63,0.9,-1,-0.0018,0.68,1,1,1,1,1,[1654853160],"[[16199.5, 16203.95, 16189.7, 16200.15]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-10 15:00:00
2022-06-10,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_4,1,1,1654853700,1654854000,16227.15,16210.25,-16.9,0.0,Friday,1,16259.604299999999,16210.922849999999,15,1,-1,0,1654853700,True,0,BELOW_VA,12,0.25,-0.02,-0.04,-0.0,-0.15,0.0012,-0.2915,0.97,1.0,0.47,0.5279,-0.0579,0.74,0.31,0.6068,0.0814,27.149999999999636,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.08,0.04,0.88,1,0.8,0.19,0.18,0.63,0.9,-1,-0.0018,0.68,1,1,1,1,1,[1654853460],"[[16199.5, 16227.65, 16199.5, 16227.15]]",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-10 15:05:00
2022-06-09,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1654749900,1654750320,16306.7,16346.4,39.7,-0.0,Thursday,1,16339.313400000001,16290.393300000002,15,1,1,0,1654749900,True,0,GAP_DOWN,3,0.0,0.2,0.0,0.21,0.19,,,,,,,,,,,,6.700000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.19,0.18,0.63,-1,0.63,0.41,0.13,0.46,1.0,-1,0.0,-0.45,1,1,1,1,1,[1654749660],"[[16325.25, 16327.2, 16306.15, 16306.7]]",100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-09 10:15:00
2022-06-09,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1654750500,1654751400,16349.45,16375.5,26.05,-0.0,Thursday,1,16382.1489,16333.100550000001,15,1,0,0,1654750500,True,0,GAP_DOWN,3,0.0,0.2,0.28,0.29,0.25,0.1118,-0.62,0.85,0.92,0.48,0.5824,-0.1024,0.77,0.39,0.7314,0.159,49.45000000000073,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0.19,0.18,0.63,-1,0.63,0.41,0.13,0.46,1.0,-1,0.0,-0.45,1,1,1,1,1,[1654750260],"[[16324.9, 16357.25, 16324.2, 16349.45]]",200,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-09 10:25:00
2022-06-09,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1654755600,1654756500,16350.3,16351.5,1.2,-0.0,Thursday,1,16383.0006,16333.9497,15,1,0,0,1654755600,True,0,GAP_DOWN,6,0.0,0.2,0.14,0.13,0.18,0.1469,-0.7589,0.88,0.95,0.5,0.6137,-0.1137,0.85,0.37,0.7685,0.2021,-49.70000000000073,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0.19,0.18,0.63,-1,0.63,0.41,0.13,0.46,1.0,-1,0.0,-0.45,1,1,1,1,1,[1654755360],"[[16356.5, 16357.6, 16348.2, 16350.3]]",100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-09 11:50:00
2022-06-09,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_4,1,1,1654759200,1654759920,16386.3,16353.65,-32.65,-0.0,Thursday,1,16419.0726,16369.9137,15,1,-1,0,1654759200,True,0,GAP_DOWN,8,0.0,0.2,0.15,0.13,0.22,0.1484,-0.7379,0.87,0.95,0.51,0.6143,-0.1043,0.83,0.39,0.7824,0.2125,-13.700000000000728,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0.19,0.18,0.63,-1,0.63,0.41,0.13,0.46,1.0,-1,0.0,-0.45,1,1,1,1,1,[1654758960],"[[16398.35, 16400.15, 16380.15, 16386.3]]",100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-09 12:50:00
2022-06-09,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_5,1,1,1654760100,1654761000,16341.3,16356.6,15.3,-0.0,Thursday,1,16373.9826,16324.9587,15,1,0,0,1654760100,True,0,GAP_DOWN,8,0.0,0.2,0.11,0.11,0.11,0.1578,-0.7837,0.86,0.94,0.49,0.6069,-0.1169,0.84,0.38,0.7772,0.1964,41.29999999999927,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0.19,0.18,0.63,-1,0.63,0.41,0.13,0.46,1.0,-1,0.0,-0.45,1,1,1,1,1,[1654759860],"[[16372.8, 16375.35, 16339.35, 16341.3]]",100,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-09 13:05:00
2022-06-09,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_6,1,1,1654762200,1654763100,16361.05,16369.7,8.65,-0.0,Thursday,1,16393.7721,16344.68895,15,1,0,0,1654762200,True,0,GAP_DOWN,9,0.0,0.2,0.1,0.09,0.11,0.0939,-0.6143,0.92,0.98,0.51,0.6034,-0.0934,0.84,0.36,0.728,0.1852,-38.95000000000073,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0.19,0.18,0.63,-1,0.63,0.41,0.13,0.46,1.0,-1,0.0,-0.45,1,1,1,1,1,[1654761960],"[[16366.0, 16366.1, 16351.25, 16361.05]]",100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-09 13:40:00
2022-06-09,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_7,1,1,1654762800,1654763700,16373.4,16374.2,0.8,-0.0,Thursday,1,16406.1468,16357.0266,15,1,0,0,1654762800,True,0,GAP_DOWN,10,0.0,0.2,0.11,0.1,0.13,0.0942,-0.6051,0.92,0.98,0.5,0.5933,-0.0933,0.83,0.35,0.7308,0.1809,-26.600000000000364,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0.19,0.18,0.63,-1,0.63,0.41,0.13,0.46,1.0,-1,0.0,-0.45,1,1,1,1,1,[1654762560],"[[16364.9, 16380.1, 16363.05, 16373.4]]",200,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-09 13:50:00
2022-06-03,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1654244100,1654245000,16676.05,16690.05,14.0,0.0,Friday,1,16709.4021,16659.37395,15,1,0,0,1654244100,True,0,GAP_UP,10,0.29,0.02,-0.05,-0.02,-0.14,0.1796,-0.7789,0.8,0.91,0.45,0.5575,-0.1075,0.75,0.37,1.034,0.2459,-23.950000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.19,0.04,0.77,1,1.0,0.48,0.26,0.26,0.97,-1,0.0,0.35,1,1,1,1,1,[1654243860],"[[16679.3, 16684.7, 16674.5, 16676.05]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-03 13:45:00
2022-06-03,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1654244700,1654245600,16692.0,16705.95,13.95,0.0,Friday,1,16725.384000000002,16675.308,15,1,0,0,1654244700,True,0,GAP_UP,10,0.27,0.02,-0.05,-0.03,-0.12,0.1619,-0.7221,0.82,0.92,0.47,0.5695,-0.0995,0.76,0.38,1.054,0.2701,-8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.19,0.04,0.77,1,1.0,0.48,0.26,0.26,0.97,-1,0.0,0.35,1,1,1,1,1,[1654244460],"[[16671.15, 16693.1, 16668.9, 16692.0]]",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-03 13:55:00
2022-06-03,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1654248600,1654249320,16589.0,16570.8,-18.2,0.0,Friday,1,16622.178,16572.411,15,1,-1,0,1654248600,True,0,GAP_UP,12,0.21,0.02,-0.09,-0.07,-0.15,0.1337,-0.6484,0.86,0.95,0.47,0.5624,-0.0924,0.76,0.36,0.9387,0.2365,-11.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0.19,0.04,0.77,1,1.0,0.48,0.26,0.26,0.97,-1,0.0,0.35,1,1,1,1,1,[1654248360],"[[16621.2, 16624.75, 16587.6, 16589.0]]",100,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2022-06-03 15:00:00
2022-06-02,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1654148100,1654149000,16505.1,16516.4,11.3,-0.0,Thursday,1,16538.1102,16488.5949,15,1,0,0,1654148100,True,0,BELOW_VA,4,0.75,0.27,0.04,0.06,0.0,0.1587,-0.7403,0.84,0.93,0.42,0.519,-0.099,0.73,0.31,0.8566,0.1541,5.099999999998545,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0.48,0.26,0.26,-1,0.61,0.33,0.67,-0.0,0.75,-1,0.0,-0.57,0,1,1,0,1,[1654147860],"[[16518.05, 16523.95, 16504.35, 16505.1]]",100,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-06-02 11:05:00
2022-06-02,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1654156200,1654157100,16555.2,16586.75,31.55,-0.0,Thursday,1,16588.310400000002,16538.644800000002,15,1,0,0,1654156200,True,0,BELOW_VA,9,0.38,0.27,0.12,0.08,0.22,0.1397,-0.6592,0.85,0.94,0.43,0.5189,-0.0889,0.72,0.32,1.0178,0.2178,-44.79999999999927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.48,0.26,0.26,-1,0.61,0.33,0.67,-0.0,0.75,-1,0.0,-0.57,0,1,1,0,1,[1654155960],"[[16575.5, 16575.65, 16553.35, 16555.2]]",100,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2022-06-02 13:20:00
2022-06-02,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1654157100,1654158000,16586.75,16617.5,30.75,-0.0,Thursday,1,16619.9235,16570.16325,15,1,0,0,1654157100,True,0,BELOW_VA,9,0.36,0.27,0.13,0.1,0.22,0.1488,-0.6916,0.85,0.94,0.42,0.518,-0.098,0.72,0.32,0.9864,0.2015,-13.25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.48,0.26,0.26,-1,0.61,0.33,0.67,-0.0,0.75,-1,0.0,-0.57,0,1,1,0,1,[1654156860],"[[16570.15, 16586.75, 16556.0, 16586.75]]",200,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2022-06-02 13:35:00
2022-06-02,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_4,1,1,1654159500,1654160400,16626.65,16611.3,-15.35,-0.0,Thursday,1,16659.9033,16610.023350000003,15,1,0,0,1654159500,True,0,BELOW_VA,11,0.31,0.27,0.15,0.11,0.28,0.1291,-0.6203,0.86,0.95,0.41,0.4976,-0.0876,0.69,0.31,1.0807,0.2174,26.650000000001455,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0.48,0.26,0.26,-1,0.61,0.33,0.67,-0.0,0.75,-1,0.0,-0.57,0,1,1,0,1,[1654159260],"[[16611.95, 16627.7, 16607.2, 16626.65]]",100,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2022-06-02 14:15:00
2022-05-27,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1653625500,1653625680,16306.95,16278.4,-28.55,-0.0,Friday,1,16339.563900000001,16290.64305,15,1,-1,0,1653625500,True,0,GAP_UP,2,0.0,0.14,0.0,0.12,0.17,,,,,,,,,,,,6.950000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0.01,0.32,1,0.66,0.14,0.12,0.74,0.91,-1,0.0,0.76,1,1,1,1,1,[1653625260],"[[16308.35, 16322.4, 16296.3, 16306.95]]",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-27 09:55:00
2022-05-26,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1653541200,1653541620,15960.5,15935.15,-25.35,-0.0,Thursday,1,15992.421,15944.5395,15,1,-1,0,1653541200,True,0,INSIDE_VA,3,0.0,-0.39,-0.38,-0.33,-0.5,0.1548,-0.5786,0.55,0.66,0.6,0.6993,-0.0993,0.8,0.6,2.1777,0.5581,-39.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0.14,0.12,0.74,-1,0.67,0.33,0.2,0.47,0.79,-1,0.0,-0.82,0,1,1,1,1,[1653540960],"[[16019.35, 16020.45, 15959.6, 15960.5]]",100,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-05-26 10:30:00
