,open,high,low,close,poc_price,va_l_p,va_l_poc_mid,va_l_low_mid,va_h_poc_mid,va_h_high_mid,va_h_p,balance_target,open_tpo,high_tpo,low_tpo,close_tpo,poc_price_tpo,va_l_p_tpo,va_l_poc_mid_tpo,va_l_low_mid_tpo,va_h_poc_mid_tpo,va_h_high_mid_tpo,va_h_p_tpo,balance_target_tpo,open_type,close_type,prev_week_close_to_open,weekly_close_to_close,weekly_open_to_close,weekly_close_to_high,weekly_close_to_low,start_date
36,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,12,GAP_DOWN,GAP_DOWN,-1.63%,-0.39%,1.26%,-0.30%,-3.68%,18/04/22 9:16
37,5,0,3,56,0,74,0,16,0,0,0,0,10,0,6,11,0,10,2,6,0,0,0,0,BELOW_VA,BELOW_VA,0.24%,-1.06%,-1.30%,1.06%,-1.21%,08/04/22 9:16
38,0,9,0,8,9,0,0,0,48,3,25,27,0,6,0,1,1,0,0,0,5,6,4,9,INSIDE_VA,GAP_UP,-0.18%,1.07%,1.25%,3.70%,-0.26%,01/04/22 9:16
39,9,18,6,59,29,42,124,30,60,0,63,135,4,10,3,10,8,8,10,6,7,2,7,14,INSIDE_VA,GAP_UP,0.53%,1.58%,1.04%,2.11%,-1.12%,25/03/22 9:16
40,0,33,0,66,0,0,0,0,0,49,0,0,0,7,0,14,0,0,0,0,0,9,0,0,ABOVE_VA,ABOVE_VA,0.25%,-0.52%,-0.76%,0.90%,-1.62%,21/03/22 9:16
41,0,43,0,18,0,0,0,0,0,3,0,0,0,6,0,7,0,0,0,0,0,4,0,0,ABOVE_VA,GAP_UP,-0.23%,4.35%,4.59%,4.70%,-0.58%,11/03/22 9:16
42,10,0,37,20,24,13,21,6,32,2,26,0,3,0,6,2,5,2,3,2,4,0,4,0,GAP_DOWN,INSIDE_VA,-1.03%,0.35%,1.39%,1.51%,-5.07%,04/03/22 9:16
43,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,BELOW_VA,BELOW_VA,1.84%,1.79%,-0.04%,3.69%,0.85%,25/02/22 9:16
44,0,0,0,82,6,17,43,66,0,0,0,0,0,0,0,9,2,5,8,5,0,0,0,0,INSIDE_VA,GAP_DOWN,-0.26%,-6.15%,-5.91%,0.58%,-6.23%,18/02/22 9:16
45,0,0,31,0,0,10,112,3,0,0,0,0,0,0,8,0,0,4,14,2,0,0,0,0,INSIDE_VA,INSIDE_VA,-0.77%,-1.74%,-0.98%,-0.55%,-4.42%,11/02/22 9:16
46,60,0,7,72,3,62,29,93,73,0,0,0,7,0,3,10,5,7,5,9,10,0,0,0,INSIDE_VA,INSIDE_VA,0.40%,0.38%,-0.02%,0.68%,-2.72%,04/02/22 9:16
47,33,77,0,22,18,0,0,0,19,61,39,0,8,7,0,2,2,0,0,0,3,10,6,0,INSIDE_VA,ABOVE_VA,0.34%,2.16%,1.81%,3.76%,-0.42%,28/01/22 9:16
48,0,0,39,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,GAP_DOWN,GAP_DOWN,-0.95%,-3.56%,-2.64%,-0.42%,-5.32%,21/01/22 9:16
49,32,78,24,119,45,21,9,35,98,75,78,0,4,13,2,13,9,7,4,4,13,13,13,0,INSIDE_VA,BELOW_VA,-0.40%,-2.60%,-2.21%,0.51%,-3.34%,14/01/22 9:16
50,0,42,0,18,2,0,0,0,29,39,54,49,0,8,0,3,3,0,0,0,6,8,8,10,INSIDE_VA,GAP_UP,0.29%,2.89%,2.59%,2.97%,-0.23%,07/01/22 9:16
51,0,2,0,0,0,0,0,0,1,2,1,18,0,1,0,0,0,0,0,0,0,1,1,5,INSIDE_VA,GAP_UP,0.09%,3.00%,2.91%,4.15%,0.06%,31/12/21 9:16
52,278,278,0,42,43,0,9,0,63,47,1,0,21,21,0,8,8,0,6,0,6,18,3,0,ABOVE_VA,ABOVE_VA,0.58%,1.04%,0.46%,1.38%,-1.28%,24/12/21 9:16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35%,4.59%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.88%,-5.91%,,,
