,open,high,low,close,poc_price,va_l_p,va_l_poc_mid,va_l_low_mid,va_h_poc_mid,va_h_high_mid,va_h_p,balance_target,open_tpo,high_tpo,low_tpo,close_tpo,poc_price_tpo,va_l_p_tpo,va_l_poc_mid_tpo,va_l_low_mid_tpo,va_h_poc_mid_tpo,va_h_high_mid_tpo,va_h_p_tpo,balance_target_tpo,open_type,close_type,prev_week_close_to_open,weekly_close_to_close,weekly_open_to_close,weekly_close_to_high,weekly_close_to_low,start_date
31,5,10,0,0,56,0,0,0,67,55,88,0,6.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,8.0,15.0,0.0,INSIDE_VA,ABOVE_VA,0.013605248776727974,0.02357148046713342,0.009832458644460695,0.03703773900792551,0.004754097842808447,2022-05-20 09:16:00
32,0,0,2,71,60,42,57,101,4,0,0,0,0.0,0.0,4.0,12.0,4.0,4.0,6.0,13.0,1.0,0.0,0.0,0.0,BELOW_VA,BELOW_VA,0.009512556511409587,0.0001263707274847814,-0.009297740501971519,0.03622732830167208,-0.005484489572835427,2022-05-13 09:16:00
33,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GAP_DOWN,GAP_DOWN,-0.015216687063566381,-0.050557315288076166,-0.03588670498399371,-0.011098313056415399,-0.055998488229789145,2022-05-06 09:16:00
34,6,31,55,7,1,88,14,52,4,19,14,0,3.0,6.0,8.0,3.0,1.0,8.0,5.0,8.0,1.0,4.0,3.0,0.0,GAP_UP,GAP_DOWN,0.005681504931418724,-0.03262367719302306,-0.03808878053002862,0.008490338830097643,-0.03524970475325484,2022-04-29 09:16:00
35,62,0,0,0,87,89,65,34,34,0,31,0,12.0,0.0,0.0,0.0,11.0,11.0,11.0,7.0,12.0,0.0,9.0,0.0,INSIDE_VA,INSIDE_VA,-0.00904305147671558,-0.009698220125171741,-0.0006611474387786531,-0.004459744484227035,-0.029390635686001643,2022-04-22 09:16:00
36,0,0,0,0,0,0,0,0,0,0,0,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,GAP_DOWN,GAP_DOWN,-0.016258812820417412,-0.003855743110757537,0.012608061826932193,-0.003019902733369828,-0.036797013874377726,2022-04-18 09:16:00
37,5,0,3,56,0,74,0,16,0,0,0,0,10.0,0.0,6.0,11.0,0.0,10.0,2.0,6.0,0.0,0.0,0.0,0.0,BELOW_VA,BELOW_VA,0.0024355499670067893,-0.010631458809469252,-0.013035260747592314,0.010625794739778316,-0.01205314030183846,2022-04-08 09:16:00
38,0,9,0,8,9,0,0,0,48,3,25,27,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,6.0,4.0,9.0,INSIDE_VA,GAP_UP,-0.0018232558139533728,0.010670483005366771,0.01251655970958132,0.03697459749552778,-0.0026361359570661325,2022-04-01 09:16:00
39,9,18,6,59,29,42,124,30,60,0,63,135,4.0,10.0,3.0,10.0,8.0,8.0,10.0,6.0,7.0,2.0,7.0,14.0,INSIDE_VA,GAP_UP,0.005332232385316438,0.01578445453646804,0.01039678408236444,0.021078890290917807,-0.011245951399347476,2022-03-25 09:16:00
40,0,33,0,66,0,0,0,0,0,49,0,0,0.0,7.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,ABOVE_VA,ABOVE_VA,0.0024555953734153313,-0.005191747579835759,-0.0076286101734037715,0.00898649567161569,-0.016240480590962614,2022-03-21 09:16:00
