day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,open_type,tpo,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,t_2_high,t_2_low,t_2_va_h_p,t_2_va_l_p,t_2_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,cd_support_pressure,cd_resistance_pressure,cd_new_business_pressure,cd_type,cd_retest_fract,ad_support_pressure,ad_resistance_pressure,ad_new_business_pressure,ad_retest_fract,ad_type,gap,cd_close_rat,high,low,poc_price,va_h_p,va_l_p,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,entry_time_read
2022-08-18,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1660811640,1660812540,17891.3,17912.25,20.95,-0.0,Thursday,1,17927.082599999998,17873.4087,15,1,0,0,1660811640,True,0,0.16,0.01,-0.0,0.05,BELOW_VA,10,1.0,-8.700000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.28,0.46,1,0.04,0.44,0.14,0.42,0.08,1,0.0016,0.7,1,0,0,1,0,0.0099,-0.2973,0.97,1.0,0.5,0.5446,-0.0446,0.74,0.34,0.5495,0.0715,2022-08-18 14:04:00
2022-08-18,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_4,1,1,1660812240,1660813140,17915.2,17915.4,0.2,-0.0,Thursday,1,17951.0304,17897.2848,15,1,0,0,1660812240,True,0,0.16,0.03,0.01,0.09,BELOW_VA,10,1.0,15.200000000000728,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.28,0.46,1,0.04,0.44,0.14,0.42,0.08,1,0.0016,0.7,1,0,0,1,0,0.0172,-0.3144,0.96,1.0,0.49,0.5416,-0.0516,0.74,0.34,0.5398,0.062,2022-08-18 14:14:00
2022-08-12,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1660280940,1660281840,17657.55,17674.45,16.9,-0.0,Friday,1,17692.8651,17639.89245,15,1,0,0,1660280940,True,0,0.17,0.05,0.04,0.08,INSIDE_VA,3,1.0,-42.45000000000073,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.09,0.83,-1,0.0,0.66,0.0,0.34,0.0,-1,0.0083,0.73,0,0,0,0,0,0.0305,-0.2659,0.9,0.94,0.6,0.6457,-0.0457,0.76,0.53,1.6957,0.5101,2022-08-12 10:39:00
2022-08-12,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1660285440,1660286340,17679.3,17688.3,9.0,-0.0,Friday,1,17714.6586,17661.6207,15,1,0,0,1660285440,True,0,0.17,0.02,0.0,0.07,INSIDE_VA,6,0.57,-20.700000000000728,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.08,0.09,0.83,-1,0.0,0.66,0.0,0.34,0.0,-1,0.0083,0.73,0,0,0,0,0,-0.0282,-0.2336,0.98,0.99,0.51,0.5553,-0.0453,0.78,0.33,0.6299,0.1306,2022-08-12 11:54:00
2022-08-12,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1660290840,1660291740,17698.25,17702.7,4.45,-0.0,Friday,1,17733.6465,17680.55175,15,1,0,0,1660290840,True,0,0.17,0.06,0.04,0.15,INSIDE_VA,9,0.31,-1.75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.09,0.83,-1,0.0,0.66,0.0,0.34,0.0,-1,0.0083,0.73,0,0,0,0,0,-0.0123,-0.2884,0.98,1.0,0.49,0.544,-0.054,0.78,0.3,0.6531,0.1287,2022-08-12 13:24:00
2022-08-12,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_4,1,1,1660291440,1660292340,17707.15,17720.9,13.75,0.0,Friday,1,17742.564300000002,17689.442850000003,15,1,0,0,1660291440,True,0,0.17,0.07,0.03,0.17,INSIDE_VA,9,0.29,7.150000000001455,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.09,0.83,-1,0.0,0.66,0.0,0.34,0.0,-1,0.0083,0.73,0,0,0,0,0,-0.0064,-0.3182,0.98,1.0,0.49,0.551,-0.061,0.8,0.3,0.6681,0.1365,2022-08-12 13:34:00
2022-08-11,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_1,1,1,1660198140,1660199040,17658.65,17661.65,3.0,0.0,Thursday,1,17693.9673,17640.99135,15,1,0,0,1660198140,True,0,-0.11,-0.06,-0.08,-0.03,GAP_UP,5,0.83,-41.349999999998545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.0,0.34,-1,0.86,0.22,0.11,0.67,0.56,1,0.001,0.08,1,0,1,1,1,0.0677,-0.5385,0.94,0.99,0.33,0.4178,-0.0878,0.67,0.16,0.7186,0.0053,2022-08-11 11:39:00
2022-08-11,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_2,1,1,1660204140,1660204740,17663.8,17644.6,-19.2,0.0,Thursday,1,17699.1276,17646.1362,15,1,-1,0,1660204140,True,0,-0.11,-0.02,-0.03,0.03,GAP_UP,9,0.62,-36.20000000000073,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.0,0.34,-1,0.86,0.22,0.11,0.67,0.56,1,0.001,0.08,1,0,1,1,1,0.1624,-0.7675,0.85,0.94,0.41,0.5176,-0.1076,0.74,0.29,0.8344,0.1332,2022-08-11 13:19:00
2022-08-11,NIFTY,CDLHIKKAKE_BUY_5_15,SIG_3,1,1,1660206540,1660207320,17663.05,17643.45,-19.6,0.0,Thursday,1,17698.376099999998,17645.38695,15,1,-1,0,1660206540,True,0,-0.11,0.0,-0.02,0.05,GAP_UP,10,0.53,-36.95000000000073,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.0,0.34,-1,0.86,0.22,0.11,0.67,0.56,1,0.001,0.08,1,0,1,1,1,0.1383,-0.7121,0.88,0.96,0.43,0.5348,-0.1048,0.77,0.3,0.7802,0.1332,2022-08-11 13:59:00
2022-08-05,NIFTY,CDLHIKKAKE_BUY_5_10,SIG_1,1,1,1659672840,1659673440,17417.85,17434.8,16.95,0.0,Friday,1,17452.685699999998,17400.432149999997,10,1,0,0,1659672840,True,0,0.12,0.0,0.12,0.12,ABOVE_VA,1,0.0,17.849999999998545,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.08,0.3,-1,0.55,0.68,0.08,0.24,1.0,1,0.0032,0.54,1,1,1,1,1,,,,,,,,,,,,2022-08-05 09:44:00
