day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,open_type,tpo,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,t_2_high,t_2_low,t_2_va_h_p,t_2_va_l_p,t_2_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,cd_support_pressure,cd_resistance_pressure,cd_new_business_pressure,cd_type,cd_retest_fract,ad_support_pressure,ad_resistance_pressure,ad_new_business_pressure,ad_retest_fract,ad_type,gap,cd_close_rat,high,low,poc_price,va_h_p,va_l_p,entry_time_read
2022-11-25,NIFTY,CDLHIKKAKE_SELL_5_10,SIG_1,1,-1,1669349640,1669350000,18455.75,18479.95,-24.2,-0.0,Friday,1,18418.8385,18474.205749999997,10,1,-1,0,1669349640,True,0,-0.31,0,-0.29,-0.38,ABOVE_VA,1,0,-44.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.8,1,0.13,0.09,0.0,0.91,0.39,-1,0.0,1.31,1,0,1,1,0,2022-11-25 09:44:00
2022-11-23,NIFTY,CDLENGULFING_SELL_5_10,SIG_1,1,-1,1669176540,1669177140,18291.6,18282.75,8.85,0.0,Wednesday,1,18255.016799999998,18309.891599999995,10,1,0,0,1669176540,True,0,-0.06,0,0.05,-0.38,GAP_UP,1,0,-8.400000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.1,0.57,1,1.0,0.16,0.12,0.72,0.96,-1,0.0,0.46,1,1,1,1,1,2022-11-23 09:39:00
2022-11-23,NIFTY,CDL3OUTSIDE_SELL_5_10,SIG_1,1,-1,1669176840,1669177440,18277.55,18273.65,3.9,0.0,Wednesday,1,18240.994899999998,18295.827549999998,10,1,0,0,1669176840,True,0,-0.09,0,-0.04,-0.25,GAP_UP,1,0,-22.450000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.1,0.57,1,1.0,0.16,0.12,0.72,0.96,-1,0.0,0.46,1,1,1,1,1,2022-11-23 09:44:00
2022-11-17,NIFTY,CDLENGULFING_SELL_5_10,SIG_1,1,-1,1668657840,1668658440,18381.1,18374.35,6.75,0.0,Thursday,1,18344.337799999998,18399.481099999997,10,1,0,0,1668657840,True,0,0.23,0,0.31,0.0,BELOW_VA,1,0,-18.900000000001455,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.39,0.06,1,0.86,0.55,0.06,0.39,0.57,1,0.0,0.37,1,0,1,1,0,2022-11-17 09:34:00
2022-11-17,NIFTY,CDLHIKKAKE_BUY_5_10,SIG_1,1,1,1668658440,1668659040,18374.35,18383.7,9.35,0.0,Thursday,1,18411.0987,18355.97565,10,1,0,0,1668658440,True,0,0.03,0,0.12,-0.25,BELOW_VA,1,0,-25.650000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.39,0.06,1,0.86,0.55,0.06,0.39,0.57,1,0.0,0.37,1,0,1,1,0,2022-11-17 09:44:00
2022-11-16,NIFTY,CDLENGULFING_BUY_5_10,SIG_1,1,1,1668571740,1668572280,18378.3,18358.9,-19.4,-0.0,Wednesday,1,18415.0566,18359.9217,10,1,-1,0,1668571740,True,0,-0.14,0,-0.15,-0.12,ABOVE_VA,1,0,-21.700000000000728,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0.06,0.39,1,0.6,0.08,0.26,0.66,1.0,-1,0.0,0.43,1,1,1,1,1,2022-11-16 09:39:00
2022-11-11,NIFTY,CDLHIKKAKE_BUY_5_10,SIG_1,1,1,1668140040,1668140640,18294.1,18310.85,16.75,-0.0,Friday,1,18330.688199999997,18275.8059,10,1,0,0,1668140040,True,0,-0.03,0,-0.04,0.0,GAP_UP,1,0,-5.900000000001455,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.44,0.06,-1,0.0,0.03,0.05,0.92,0.0,-1,-0.004,-0.9,0,1,0,0,0,2022-11-11 09:44:00
2022-11-02,NIFTY,CDLHIKKAKE_SELL_5_10,SIG_1,1,-1,1667362440,1667363040,18140.95,18118.5,22.45,0.0,Wednesday,1,18104.6681,18159.090949999998,10,1,0,0,1667362440,True,0,-0.06,0,-0.08,0.0,GAP_UP,1,0,40.95000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,0.29,0.1,1,0.0,0.08,0.09,0.83,0.0,1,0.006,0.99,0,0,0,0,0,2022-11-02 09:44:00
2022-10-28,NIFTY,CDLENGULFING_BUY_5_10,SIG_1,1,1,1666930440,1666930860,17813.75,17791.5,-22.25,0.0,Friday,1,17849.3775,17795.93625,10,1,-1,0,1666930440,True,0,0.25,0,0.21,0.38,ABOVE_VA,1,0,13.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8,0.1,0.1,-1,1.0,0.02,0.02,0.96,0.74,-1,0.0,0.36,0,1,1,1,1,2022-10-28 09:44:00
2022-10-28,NIFTY,CDLHIKKAKE_SELL_5_10,SIG_1,1,-1,1666930440,1666931040,17813.75,17779.7,34.05,0.0,Friday,1,17778.1225,17831.563749999998,10,1,0,0,1666930440,True,0,0.25,0,0.21,0.38,ABOVE_VA,1,0,13.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8,0.1,0.1,-1,1.0,0.02,0.02,0.96,0.74,-1,0.0,0.36,0,1,1,1,1,2022-10-28 09:44:00
