day,symbol,strategy,trade_id,leg,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,spot_stop_loss_rolling,instr_target,instr_stop_loss,duration,quantity,exit_type,spot_entry_price,spot_exit_price,trigger_time,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,entry_time_read,exit_time_read
2023-01-10,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1673338140,1673338680,41962.05,42029.0,-66.95,-0.0,Tuesday,1,SPOT,0,SHORT,41836.163850000004,42028.45,42028.45,41836.163850000004,42028.45,109.0,1,IS,41962.05,42029.0,1673338140,INSIDE_VA,9,41962.05,0.07,-0.33,-0.2,-0.18,-0.25,-37.94999999999709,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0.41,0.28,0.31,1,0.94,0.41,0.04,0.55,0.62,-1,0.0,0.66,1,0,1,1,0,148260.37374999808,180.80533384146108,13.613429662928354,0.23,-0.39,-8.449552194085708,6.517135238992847,-69.65359246885718,41.43712363250961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1098,-0.5786,0.89,0.96,0.48,0.5695,-0.0895,0.77,0.37,0.8924,0.2285,2023-01-10 13:39:00,2023-01-10 13:48:00
2023-01-10,BANKNIFTY,PriceBreakEMADownward,SIG_2,1,-1,1673339940,1673341200,42003.2,41866.5,136.7,-0.0,Tuesday,1,SPOT,0,SHORT,41877.1904,42080.8,42059.7984,41877.1904,42080.8,79.0,1,IT,42003.2,41866.5,1673339940,INSIDE_VA,10,42003.2,0.06,-0.33,-0.17,-0.17,-0.2,3.1999999999970896,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0.41,0.28,0.31,1,0.94,0.41,0.04,0.55,0.62,-1,0.0,0.66,1,0,1,1,0,167958.83999999802,204.82785365853417,14.489601443794012,0.22,-0.32,-8.164853683403646,6.772284542651268,-65.03886406964884,44.74520773330077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1369,-0.6603,0.86,0.94,0.47,0.5626,-0.0926,0.76,0.36,0.9353,0.2289,2023-01-10 14:09:00,2023-01-10 14:30:00
2023-01-09,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1673240640,1673243880,42520.95,42587.2,-66.25,-0.0,Monday,1,SPOT,0,SHORT,42393.387149999995,42586.85,42586.85,42393.387149999995,42586.85,294.0,1,IS,42520.95,42587.2,1673240640,ABOVE_VA,3,42520.95,1.0,0.38,0.26,0.23,0.33,20.94999999999709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0.41,0.04,0.55,-1,0.48,0.38,0.08,0.54,0.46,-1,0.0,-0.99,0,1,1,0,1,57353.42125000035,69.94319664634189,8.46709965469289,0.0,0.65,6.841191074111277,0.0,45.66038567073152,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1664,-0.7328,0.78,0.88,0.45,0.5354,-0.0854,0.74,0.33,1.0958,0.2595,2023-01-09 10:34:00,2023-01-09 11:28:00
2023-01-09,BANKNIFTY,PriceBreakEMADownward,SIG_2,1,-1,1673246040,1673251800,42650.6,42489.5,161.1,0.0,Monday,1,SPOT,0,SHORT,42522.648199999996,42716.8,42695.474700000006,42522.648199999996,42716.8,204.0,1,IT,42650.6,42489.5,1673246040,ABOVE_VA,6,42650.6,0.5,0.38,0.19,0.15,0.29,-49.400000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0.41,0.04,0.55,-1,0.48,0.38,0.08,0.54,0.46,-1,0.0,-0.99,0,1,1,0,1,87985.66875000024,107.29959603658567,10.487234427507584,0.15,0.5,7.4108426828426515,3.9998270214986507,53.58106270228534,15.608406050644646,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1448,-0.6336,0.79,0.88,0.44,0.5208,-0.0808,0.68,0.36,1.3769,0.3121,2023-01-09 12:04:00,2023-01-09 13:40:00
2023-01-04,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1672819140,1672819980,43019.0,43102.1,-83.1,0.0,Wednesday,1,SPOT,0,SHORT,42889.943,43079.15,43079.15,42889.943,43079.15,119.0,1,IS,43019.0,43102.1,1672819140,INSIDE_VA,9,43019.0,0.23,-0.27,-0.11,-0.06,-0.25,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.01,0.08,0.91,1,0.7,0.18,0.34,0.48,0.56,1,0.0,0.5,1,0,1,1,1,160426.3537499962,195.64189481706853,14.16096543981007,0.04,-0.6,-10.97359003131468,2.940908386388372,-117.48261285401846,8.437992328906788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1012,-0.5096,0.86,0.94,0.51,0.5863,-0.0763,0.76,0.41,1.3574,0.376,2023-01-04 13:29:00,2023-01-04 13:43:00
2023-01-03,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1672721940,1672728300,43398.7,43256.8,141.9,-0.0,Tuesday,1,SPOT,0,SHORT,43268.503899999996,43457.25,43435.55065,43268.503899999996,43457.25,299.0,1,IT,43398.7,43256.8,1672721940,INSIDE_VA,3,43398.7,1.0,0.27,0.14,0.08,0.3,-1.3000000000029104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0.18,0.34,0.48,1,1.0,0.34,0.04,0.62,0.71,-1,0.0,0.2,1,0,1,1,1,21049.493749999994,25.670114329268287,5.129509449011669,0.06,0.48,3.54957164705403,1.2983422834254936,12.29215500250718,1.6445782292005122,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.171,-0.6685,0.67,0.79,0.4,0.4908,-0.0908,0.64,0.34,1.7668,0.3249,2023-01-03 10:29:00,2023-01-03 12:15:00
2023-01-03,BANKNIFTY,PriceBreakEMADownward,SIG_2,1,-1,1672735440,1672735800,43367.65,43471.3,-103.65,-0.0,Tuesday,1,SPOT,0,SHORT,43237.54705,43452.5,43452.5,43237.54705,43452.5,74.0,1,IS,43367.65,43471.3,1672735440,INSIDE_VA,10,43367.65,1.0,0.27,-0.03,-0.05,0.01,-32.349999999998545,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0.18,0.34,0.48,1,1.0,0.34,0.04,0.62,0.71,-1,0.0,0.2,1,0,1,1,1,77258.24000000402,94.21736585366344,9.827146076048988,0.36,0.01,0.7624822005367672,5.921140589781584,0.5671991279369666,34.204786228252686,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0504,-0.3462,0.92,0.97,0.51,0.558,-0.048,0.71,0.4,1.481,0.3891,2023-01-03 14:14:00,2023-01-03 14:20:00
2022-12-30,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1672385340,1672388460,43162.8,43002.05,160.75,0.0,Friday,1,SPOT,0,SHORT,43033.3116,43197.65,43197.65,43033.3116,43197.65,149.0,1,IT,43162.8,43002.05,1672385340,ABOVE_VA,8,43162.8,0.55,-0.14,-0.06,-0.03,-0.15,-37.19999999999709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.19,0.2,0.61,1,0.34,0.11,0.75,0.14,1.0,1,-0.0002,0.81,1,1,1,1,1,89977.1512500011,109.72823323170866,10.605255256829105,0.34,-0.1,-3.3093371707438264,6.20507525145566,-10.684597570406591,37.56386231827075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.0395,-0.1257,0.99,0.99,0.43,0.4611,-0.0311,0.64,0.29,0.4146,-0.0931,2022-12-30 12:59:00,2022-12-30 13:51:00
2022-12-29,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1672291440,1672294380,42571.75,42642.45,-70.7,-0.0,Thursday,1,SPOT,0,SHORT,42444.03475,42637.6,42637.6,42444.03475,42637.6,274.0,1,IS,42571.75,42642.45,1672291440,GAP_DOWN,4,42571.75,1.0,-0.08,-0.03,-0.04,0.0,-28.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0.11,0.75,0.14,1,0.68,0.81,0.1,0.09,0.44,1,0.0,0.57,1,0,0,1,0,36242.85125000026,44.198599085366176,6.7307922314167685,0.18,-0.06,-1.6592289728876348,2.8479842793431156,-2.685893448263177,7.913184834522465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.071,-0.5416,0.93,0.98,0.39,0.4717,-0.0817,0.72,0.22,0.7161,0.0652,2022-12-29 10:54:00,2022-12-29 11:43:00
2022-12-29,BANKNIFTY,PriceBreakEMADownward,SIG_2,1,-1,1672295940,1672299180,42643.25,42717.4,-74.15,-0.0,Thursday,1,SPOT,0,SHORT,42515.32025,42694.1,42694.1,42515.32025,42694.1,199.0,1,IS,42643.25,42717.4,1672295940,GAP_DOWN,6,42643.25,1.0,-0.08,0.05,0.04,0.1,43.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0.11,0.75,0.14,1,0.68,0.81,0.1,0.09,0.44,1,0.0,0.57,1,0,0,1,0,55340.856250001336,67.48884908536748,8.317215297952895,0.36,-0.03,-1.3253407336123009,4.9825390609719244,-1.7136859123629193,24.22019072596194,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0785,-0.5249,0.93,0.98,0.39,0.4727,-0.0827,0.69,0.25,0.7073,0.0598,2022-12-29 12:09:00,2022-12-29 13:03:00
2022-12-28,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1672207140,1672210080,42975.6,43027.05,-51.45,0.0,Wednesday,1,SPOT,0,SHORT,42846.6732,43020.25,43020.25,42846.6732,43020.25,239.0,1,IS,42975.6,43027.05,1672207140,ABOVE_VA,5,42975.6,0.6,0.14,0.11,0.04,0.33,-24.400000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0.81,0.1,0.09,1,0.85,0.12,0.16,0.72,0.35,1,0.0,1.7,1,0,0,1,0,74107.71124999976,90.37525762195092,9.624689037184512,0.44,0.11,3.239927811099315,6.357438170176049,10.241104605985168,39.43123910986478,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.0495,-0.1377,0.98,0.98,0.48,0.5163,-0.0363,0.74,0.3,0.5509,0.0531,2022-12-28 11:29:00,2022-12-28 12:18:00
2022-12-28,BANKNIFTY,PriceBreakEMADownward,SIG_2,1,-1,1672217340,1672221120,42915.65,42782.1,133.55,0.0,Wednesday,1,SPOT,0,SHORT,42786.90305,42975.65,42954.192175000004,42786.90305,42975.65,69.0,1,IT,42915.65,42782.1,1672217340,ABOVE_VA,11,42915.65,0.65,0.14,0.02,-0.0,0.08,15.650000000001455,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0.81,0.1,0.09,1,0.85,0.12,0.16,0.72,0.35,1,0.0,1.7,1,0,0,1,0,105222.04625000013,128.31956859756113,11.468546455959455,0.49,0.05,2.6028479206139097,8.038695994592977,6.609577851555271,63.04452028632701,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0756,-0.5055,0.93,0.98,0.44,0.5193,-0.0793,0.74,0.3,0.7098,0.112,2022-12-28 14:19:00,2022-12-28 15:22:00
2022-12-27,BANKNIFTY,PriceBreakEMADownward,SIG_1,1,-1,1672119240,1672124520,42628.35,42478.75,149.6,-0.0,Tuesday,1,SPOT,0,SHORT,42500.46495,42663.85,42642.535825,42500.46495,42663.85,264.0,1,IT,42628.35,42478.75,1672119240,ABOVE_VA,4,42628.35,1.0,-0.16,0.07,0.06,0.09,28.349999999998545,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.12,0.16,0.72,1,0.49,0.1,0.44,0.46,1.0,-1,0.0,1.76,1,1,1,1,1,178104.6475000032,217.20078963415023,14.920817986122746,0.17,-0.4,-9.475613515115466,6.126907157564164,-87.59731852472088,36.62340616332779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1166,-0.5505,0.77,0.85,0.54,0.6175,-0.0775,0.81,0.42,1.4315,0.4199,2022-12-27 11:04:00,2022-12-27 12:32:00
