day,symbol,strategy,trade_id,leg,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,cover,market_view,spot_target,spot_stop_loss,spot_stop_loss_rolling,instr_target,instr_stop_loss,duration,quantity,exit_type,spot_entry_price,spot_exit_price,trigger_time,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,strength,entry_time_read,exit_time_read
2022-12-07,NIFTY_18500_CE,PriceBreakEMADownward,SIG_3,1,-1,1670397240,1670398200,113.55,134.7,-21.15,0.0,Wednesday,1,18500_CE,0,SHORT,18515.785499999998,18597.25,18597.25,,,164.0,1,SS,18571.5,18599.35,1670397240,ABOVE_VA,7,18571.5,0.2,0.16,-0.09,-0.08,-0.12,0.1364,-0.5816,0.79,0.9,0.48,0.5635,-0.0835,0.71,0.42,1.6293,0.3894,-28.5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0.3,0.11,0.59,1,0.83,0.75,0.07,0.18,0.46,-1,0.0,-0.1,0,1,1,0,1,7983.320000000098,66.52766666666749,8.423944708059599,0.17,-0.29,-4.532604710406359,3.4737212011971343,-19.26047386949804,11.312567797168557,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-07 12:44:00,2022-12-07 13:00:00
2022-12-06,NIFTY_18500_CE,PriceBreakEMADownward,SIG_1,1,-1,1670304540,1670319060,187.75,214.0,-26.25,-0.0,Tuesday,1,18500_CE,0,SHORT,18578.097999999998,18648.05,18648.05,,,269.0,1,SS,18634.0,18648.95,1670304540,BELOW_VA,4,18634.0,1.0,-0.03,0.02,0.04,-0.04,0.12,-0.6002,0.86,0.94,0.36,0.4525,-0.0925,0.65,0.25,1.031,0.1494,34.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0.75,0.07,0.18,-1,0.65,0.46,0.21,0.33,0.63,-1,0.0,-0.03,0,1,1,1,1,3411.403749999749,28.42836458333124,5.5066858353175245,0.0,0.14,2.069527589679539,0.0,4.015260416667001,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-06 10:59:00,2022-12-06 15:01:00
2022-12-06,NIFTY_18500_CE,PriceBreakEMADownward,SIG_2,1,-1,1670315040,1670319060,181.1,214.0,-32.9,-0.0,Tuesday,1,18500_CE,0,SHORT,18564.38925,18641.1,18641.1,,,94.0,1,SS,18620.25,18648.95,1670315040,BELOW_VA,10,18620.25,1.0,-0.03,-0.02,0.0,-0.09,0.0472,-0.3779,0.94,0.99,0.41,0.4736,-0.0636,0.66,0.29,0.4619,-0.07,20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0.75,0.07,0.18,-1,0.65,0.46,0.21,0.33,0.63,-1,0.0,-0.03,0,1,1,1,1,6917.411249999888,57.64509374999907,7.841434817684772,0.33,0.06,1.8898639880231978,4.524003815696679,3.3483617749002614,19.18744736666073,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-06 13:54:00,2022-12-06 15:01:00
2022-12-05,NIFTY_18500_CE,PriceBreakEMADownward,SIG_1,1,-1,1670217840,1670218920,189.15,201.5,-12.35,-0.0,Monday,1,18500_CE,0,SHORT,18566.7322,18633.75,18633.75,,,274.0,1,SS,18622.6,18634.55,1670217840,ABOVE_VA,4,18622.6,1.0,-0.33,-0.14,-0.1,-0.25,-0.0533,0.089,0.51,0.47,0.64,0.6289,0.0111,0.71,0.55,3.5315,0.6251,22.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0.46,0.21,0.33,-1,0.03,0.21,0.14,0.65,0.03,-1,-0.0014,-0.71,0,1,0,0,1,5314.251249999971,44.28542708333309,6.872975257404077,0.0,-0.7,-5.7430141137830555,0.0,-30.92082291666691,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-05 10:54:00,2022-12-05 11:12:00
2022-12-05,NIFTY_18500_CE,PriceBreakEMADownward,SIG_2,1,-1,1670221140,1670222520,206.15,218.4,-12.25,-0.0,Monday,1,18500_CE,0,SHORT,18586.82175,18654.5,18654.5,,,219.0,1,SS,18642.75,18657.4,1670221140,ABOVE_VA,6,18642.75,1.0,-0.33,-0.03,-0.02,-0.09,0.0705,-0.2925,0.66,0.76,0.56,0.5914,-0.0314,0.68,0.51,2.7845,0.5313,42.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0.46,0.21,0.33,-1,0.03,0.21,0.14,0.65,0.03,-1,-0.0014,-0.71,0,1,0,0,1,6406.4512499999555,53.38709374999963,7.546272810688263,0.0,-0.41,-4.824289239532292,0.0,-21.819156250000372,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-05 11:49:00,2022-12-05 12:12:00
2022-12-05,NIFTY_18600_CE,PriceBreakEMADownward,SIG_3,1,-1,1670225340,1670233320,166.7,187.35,-20.65,0.0,Monday,1,18600_CE,0,SHORT,18626.7516,18719.0,18719.0,,,149.0,1,SS,18682.8,18721.6,1670225340,ABOVE_VA,8,18682.8,1.0,-0.33,0.02,0.03,0.0,0.1259,-0.4843,0.67,0.8,0.55,0.6098,-0.0598,0.71,0.51,2.3055,0.5079,-17.200000000000728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0.46,0.21,0.33,-1,0.03,0.21,0.14,0.65,0.03,-1,-0.0014,-0.71,0,1,0,0,1,12451.969999999648,103.76641666666373,10.520654816967177,0.0,0.18,4.45941700225454,0.0,18.64349999999706,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-12-05 12:59:00,2022-12-05 15:12:00
2022-11-25,NIFTY_18400_CE,PriceBreakEMADownward,SIG_1,1,-1,1669353840,1669364520,158.85,177.25,-18.4,-0.0,Friday,1,18400_CE,0,SHORT,18423.81225,18499.55,18499.55,,,274.0,1,SS,18479.25,18501.75,1669353840,ABOVE_VA,4,18479.25,1.0,-0.06,0.01,0.0,0.04,0.1698,-0.7616,0.78,0.87,0.32,0.4333,-0.1133,0.65,0.21,0.995,0.1082,-20.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.14,0.06,0.8,1,0.13,0.09,0.0,0.91,0.39,-1,0.0,1.31,1,0,1,1,0,3430.227499999946,28.585229166666217,5.521857577945182,0.11,-0.02,-0.7773168442322305,1.8296384975951847,-0.5664576340567067,3.1383534673897175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-11-25 10:54:00,2022-11-25 13:52:00
2022-11-25,NIFTY_18400_CE,PriceBreakEMADownward,SIG_2,1,-1,1669361940,1669363560,158.3,168.8,-10.5,-0.0,Friday,1,18400_CE,0,SHORT,18421.91795,18495.1,18495.1,,,139.0,1,SS,18477.35,18495.55,1669361940,ABOVE_VA,8,18477.35,1.0,-0.06,0.01,0.02,-0.02,0.0514,-0.4182,0.93,0.98,0.44,0.501,-0.061,0.71,0.29,0.6226,0.0577,-22.650000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.14,0.06,0.8,1,0.13,0.09,0.0,0.91,0.39,-1,0.0,1.31,1,0,1,1,0,5762.528749999836,48.0210729166653,7.156988038118851,0.37,-0.05,-1.5481642837418341,4.34085930811054,-2.247011858863,17.6653683120093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-11-25 13:09:00,2022-11-25 13:36:00
2022-11-25,NIFTY_18400_CE,PriceBreakEMADownward,SIG_3,1,-1,1669364040,1669364520,163.65,177.25,-13.6,-0.0,Friday,1,18400_CE,0,SHORT,18430.0435,18496.4,18496.4,,,104.0,1,FC,18485.5,18501.75,1669364040,ABOVE_VA,9,18485.5,1.0,-0.06,0.01,0.01,-0.01,0.0708,-0.4947,0.92,0.98,0.42,0.4958,-0.0758,0.72,0.27,0.7112,0.0861,-14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.14,0.06,0.8,1,0.13,0.09,0.0,0.91,0.39,-1,0.0,1.31,1,0,1,1,0,5836.859999999833,48.64049999999861,7.202999375260178,0.37,-0.04,-1.5269605063852487,4.408920218561291,-2.1858828638065266,18.223666400286138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-11-25 13:44:00,2022-11-25 13:52:00
2022-11-17,NIFTY_18300_CE,PriceBreakEMADownward,SIG_1,1,-1,1668669540,1668671880,93.8,107.25,-13.45,0.0,Thursday,1,18300_CE,0,SHORT,18331.1411,18398.65,18398.65,,,159.0,1,SS,18386.3,18401.0,1668669540,BELOW_VA,8,18386.3,1.0,0.05,-0.02,0.02,-0.12,-0.0495,-0.2161,0.99,0.99,0.47,0.5291,-0.0591,0.79,0.26,0.6642,0.1164,-13.700000000000728,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0.55,0.39,0.06,1,0.86,0.55,0.06,0.39,0.57,1,0.0,0.37,1,0,1,1,0,4583.773749999877,38.198114583332305,6.383154044479458,0.15,-0.04,-1.3321429595561871,2.437430892331112,-1.6636920606516725,5.569752520209412,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-11-17 12:49:00,2022-11-17 13:28:00
2022-11-17,NIFTY_18300_CE,PriceBreakEMADownward,SIG_2,1,-1,1668672840,1668678120,98.8,52.15,46.65,0.0,Thursday,1,18300_CE,0,SHORT,18338.16995,18409.1,18409.1,,,104.0,1,ST,18393.35,18337.1,1668672840,BELOW_VA,9,18393.35,1.0,0.05,0.02,0.05,-0.06,0.0071,-0.3456,0.97,1.0,0.46,0.5239,-0.0639,0.77,0.28,0.669,0.1069,-6.650000000001455,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0.55,0.39,0.06,1,0.86,0.55,0.06,0.39,0.57,1,0.0,0.37,1,0,1,1,0,5121.542499999853,42.67952083333211,6.747208476267864,0.17,0.03,1.1966926338086181,2.7412693951980662,1.3425686810735697,7.044898028483974,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-11-17 13:44:00,2022-11-17 15:12:00
2022-11-17,NIFTY_18300_CE,PriceBreakEMADownward,SIG_3,1,-1,1668675240,1668678120,97.15,52.15,45.0,0.0,Thursday,1,18300_CE,0,SHORT,18340.4132,18406.1,18406.1,,,64.0,1,ST,18395.6,18337.1,1668675240,BELOW_VA,11,18395.6,1.0,0.05,0.02,0.05,-0.06,0.0226,-0.3761,0.97,1.0,0.42,0.488,-0.068,0.72,0.26,0.6656,0.0681,-4.400000000001455,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0.55,0.39,0.06,1,0.86,0.55,0.06,0.39,0.57,1,0.0,0.37,1,0,1,1,0,5357.948749999853,44.64957291666544,6.901174618216076,0.17,0.0,0.24577295220328688,2.871285055538961,0.056629072532549195,7.729010503276287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-11-17 14:24:00,2022-11-17 15:12:00
2022-11-16,NIFTY_18300_CE,PriceBreakEMADownward,SIG_1,1,-1,1668577140,1668578640,151.05,164.45,-13.4,0.0,Wednesday,1,18300_CE,0,SHORT,18368.27935,18438.7,18438.7,,,259.0,1,SS,18423.55,18439.3,1668577140,ABOVE_VA,4,18423.55,0.5,0.0,0.11,0.09,0.19,0.1779,-0.709,0.72,0.84,0.58,0.6748,-0.0948,0.83,0.52,1.5805,0.4839,23.549999999999272,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0.55,0.06,0.39,1,0.6,0.08,0.26,0.66,1.0,-1,0.0,0.43,1,1,1,1,1,4280.235000000017,35.66862500000014,6.168187199926206,0.0,0.57,4.66541888080082,0.0,20.40574999999948,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-11-16 11:09:00,2022-11-16 11:34:00
2022-11-16,NIFTY_18300_CE,PriceBreakEMADownward,SIG_2,1,-1,1668578940,1668588540,157.55,113.2,44.35,0.0,Wednesday,1,18300_CE,0,SHORT,18375.2085,18442.15,18442.15,,,229.0,1,ST,18430.5,18373.35,1668578940,ABOVE_VA,5,18430.5,0.33,0.0,0.11,0.08,0.2,0.206,-0.8198,0.72,0.84,0.52,0.63,-0.11,0.79,0.47,1.3364,0.3867,30.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0.55,0.06,0.39,1,0.6,0.08,0.26,0.66,1.0,-1,0.0,0.43,1,1,1,1,1,4779.771250000048,39.831427083333736,6.518194194372854,0.0,0.52,4.715132848369911,0.0,20.84294791666589,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2022-11-16 11:39:00,2022-11-16 14:19:00
