day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,instrument,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,open_type,tpo,spot,candles_in_range,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,quad,lin,quad_r2,lin_r2,market_auc,trend_auc,auc_del,mu_0,mu_n,exp_b,exp_c,lc_dist_frm_level,lc_resistance_ind,lc_support_ind,lc_y_high,lc_y_low,lc_y_va_h_p,lc_y_va_l_p,lc_y_poc_price,lc_t_2_high,lc_t_2_low,lc_t_2_va_h_p,lc_t_2_va_l_p,lc_t_2_poc_price,lc_w_high,lc_w_low,lc_w_Pivot,lc_w_R1,lc_w_S1,lc_w_R2,lc_w_S2,lc_w_R3,lc_w_S3,lc_w_R4,lc_w_S4,d_y_high,d_y_low,d_y_poc_price,d_y_va_h_p,d_y_va_l_p,d_t_2_high,d_t_2_low,d_t_2_poc_price,d_t_2_va_h_p,d_t_2_va_l_p,d2_cd_support_pressure,d2_cd_resistance_pressure,d2_cd_new_business_pressure,d2_cd_type,d2_cd_retest_fract,d2_ad_support_pressure,d2_ad_resistance_pressure,d2_ad_new_business_pressure,d2_ad_retest_fract,d2_ad_type,d2_gap,d2_cd_close_rat,d2_ad_high,d2_ad_low,d2_ad_poc_price,d2_ad_va_h_p,d2_ad_va_l_p,total_energy,total_energy_pyr,total_energy_ht,static_ratio,dynamic_ratio,d_en_ht,s_en_ht,d_en_pyr,s_en_pyr,pattern_time,pattern_price,strength,strike,kind,money_ness,pat_y_high,pat_y_low,pat_y_va_h_p,pat_y_va_l_p,pat_y_poc_price,pat_t_2_high,pat_t_2_low,pat_t_2_va_h_p,pat_t_2_va_l_p,pat_t_2_poc_price,pat_w_high,pat_w_low,pat_w_Pivot,pat_w_R1,pat_w_S1,pat_w_R2,pat_w_S2,pat_w_R3,pat_w_S3,pat_w_R4,pat_w_S4,entry_time_read
2022-09-28,NIFTY_17000_PE,OPTION_CHEAP_BUY,SIG_11,1,1,1664343660,1664347260,119.2,78.2,-41.0,-0.0,Wednesday,1,17000_PE,131.12,59.6,60,1,0,0,1664343660,True,0,GAP_DOWN,4,16934.7,1.0,0.3,0.11,0.1,0.16,-0.0461,-0.0793,0.98,0.97,0.45,0.4689,-0.0189,0.62,0.32,0.3327,-0.1435,34.70000000000073,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,13926.596249999586,116.05496874999655,11.12618383214402,0.25,0.13,3.9441392698022577,5.516719848102806,14.583969918371517,28.532060514798225,[1664343660],"[[0, 0, 0, 0]]",30,17000,PE,ITM_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 11:11:00
2022-09-28,NIFTY_17300_PE,OPTION_CHEAP_BUY,SIG_12,1,1,1664343840,1664347440,342.45,300.85,-41.6,-0.0,Wednesday,1,17300_PE,376.695,171.225,60,1,0,0,1664343840,True,0,GAP_DOWN,4,16959.2,1.0,0.3,0.15,0.11,0.25,-0.0912,0.057,0.99,0.95,0.44,0.4519,-0.0119,0.6,0.3,0.3123,-0.1695,-40.79999999999927,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,13926.596249999586,116.05496874999655,11.12618383214402,0.25,0.13,3.9441392698022577,5.516719848102806,14.583969918371517,28.532060514798225,[1664343840],"[[0, 0, 0, 0]]",20,17300,PE,ITM_3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 11:14:00
2022-09-28,NIFTY_17100_PE,OPTION_CHEAP_BUY,SIG_13,1,1,1664343840,1664347440,172.2,141.5,-30.7,-0.0,Wednesday,1,17100_PE,189.42000000000002,86.1,60,1,0,0,1664343840,True,0,GAP_DOWN,4,16959.2,1.0,0.3,0.15,0.11,0.25,-0.0912,0.057,0.99,0.95,0.44,0.4519,-0.0119,0.6,0.3,0.3123,-0.1695,-40.79999999999927,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,13926.596249999586,116.05496874999655,11.12618383214402,0.25,0.13,3.9441392698022577,5.516719848102806,14.583969918371517,28.532060514798225,[1664343840],"[[0, 0, 0, 0]]",30,17100,PE,ITM_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 11:14:00
2022-09-28,NIFTY_17300_PE,OPTION_CHEAP_BUY,SIG_14,1,1,1664343960,1664347560,341.55,321.35,-20.2,-0.0,Wednesday,1,17300_PE,375.70500000000004,170.775,60,1,0,0,1664343960,True,0,GAP_DOWN,5,16962.4,1.0,0.3,0.14,0.1,0.25,-0.1207,0.143,0.98,0.93,0.45,0.4538,-0.0038,0.6,0.3,0.308,-0.1645,-37.599999999998545,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,15206.256249999518,126.71880208332932,11.626122406985827,0.28,0.15,4.450941598615738,6.128156892844264,18.57270104464502,35.2071627218575,[1664343960],"[[0, 0, 0, 0]]",20,17300,PE,ITM_3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 11:16:00
2022-09-28,NIFTY_17100_PE,OPTION_CHEAP_BUY,SIG_15,1,1,1664343960,1664347560,172.5,156.05,-16.45,-0.0,Wednesday,1,17100_PE,189.75000000000003,86.25,60,1,0,0,1664343960,True,0,GAP_DOWN,5,16962.4,1.0,0.3,0.14,0.1,0.25,-0.1207,0.143,0.98,0.93,0.45,0.4538,-0.0038,0.6,0.3,0.308,-0.1645,-37.599999999998545,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,15206.256249999518,126.71880208332932,11.626122406985827,0.28,0.15,4.450941598615738,6.128156892844264,18.57270104464502,35.2071627218575,[1664343960],"[[0, 0, 0, 0]]",30,17100,PE,ITM_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 11:16:00
2022-09-28,NIFTY_17300_PE,OPTION_CHEAP_BUY,SIG_16,1,1,1664344260,1664347860,340.7,298.0,-42.7,-0.0,Wednesday,1,17300_PE,374.77000000000004,170.35,60,1,0,0,1664344260,True,0,GAP_DOWN,5,16963.55,1.0,0.3,0.14,0.11,0.22,-0.1207,0.143,0.98,0.93,0.45,0.4538,-0.0038,0.6,0.3,0.308,-0.1645,-36.45000000000073,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,15536.996249999675,129.4749687499973,11.75187786412582,0.28,0.15,4.595330865846728,6.260034613491489,19.79724915619091,36.738781276979566,[1664344260],"[[0, 0, 0, 0]]",20,17300,PE,ITM_3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 11:21:00
2022-09-28,NIFTY_17100_PE,OPTION_CHEAP_BUY,SIG_17,1,1,1664344260,1664347860,171.45,138.65,-32.8,-0.0,Wednesday,1,17100_PE,188.595,85.725,60,1,0,0,1664344260,True,0,GAP_DOWN,5,16963.55,1.0,0.3,0.14,0.11,0.22,-0.1207,0.143,0.98,0.93,0.45,0.4538,-0.0038,0.6,0.3,0.308,-0.1645,-36.45000000000073,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,15536.996249999675,129.4749687499973,11.75187786412582,0.28,0.15,4.595330865846728,6.260034613491489,19.79724915619091,36.738781276979566,[1664344260],"[[0, 0, 0, 0]]",30,17100,PE,ITM_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 11:21:00
2022-09-28,NIFTY_17300_PE,OPTION_CHEAP_BUY,SIG_18,1,1,1664344440,1664348040,343.8,323.25,-20.55,-0.0,Wednesday,1,17300_PE,378.18000000000006,171.9,60,1,0,0,1664344440,True,0,GAP_DOWN,5,16965.5,1.0,0.3,0.16,0.12,0.31,-0.1251,0.1597,0.98,0.92,0.46,0.4524,0.0076,0.61,0.3,0.2985,-0.1676,-34.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,15536.996249999675,129.4749687499973,11.75187786412582,0.28,0.15,4.595330865846728,6.260034613491489,19.79724915619091,36.738781276979566,[1664344440],"[[0, 0, 0, 0]]",20,17300,PE,ITM_3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 11:24:00
2022-09-28,NIFTY_17100_PE,OPTION_CHEAP_BUY,SIG_19,1,1,1664344440,1664348040,172.7,157.3,-15.4,-0.0,Wednesday,1,17100_PE,189.97,86.35,60,1,0,0,1664344440,True,0,GAP_DOWN,5,16965.5,1.0,0.3,0.16,0.12,0.31,-0.1251,0.1597,0.98,0.92,0.46,0.4524,0.0076,0.61,0.3,0.2985,-0.1676,-34.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,15536.996249999675,129.4749687499973,11.75187786412582,0.28,0.15,4.595330865846728,6.260034613491489,19.79724915619091,36.738781276979566,[1664344440],"[[0, 0, 0, 0]]",30,17100,PE,ITM_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 11:24:00
2022-09-28,NIFTY_17300_PE,OPTION_CHEAP_BUY,SIG_20,1,1,1664344740,1664348340,339.2,328.6,-10.6,-0.0,Wednesday,1,17300_PE,373.12,169.6,60,1,0,0,1664344740,True,0,GAP_DOWN,5,16961.7,1.0,0.3,0.13,0.1,0.22,-0.1252,0.179,0.97,0.91,0.47,0.4559,0.0141,0.6,0.31,1.6244,0.3642,-38.29999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,16357.267499999456,136.31056249999546,12.058106540138402,0.3,0.15,4.706722347029458,6.556052629954209,20.76865804877483,40.29546195630891,[1664344740],"[[0, 0, 0, 0]]",20,17300,PE,ITM_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 11:29:00
2022-09-28,NIFTY_17100_PE,OPTION_CHEAP_BUY,SIG_21,1,1,1664344740,1664348340,169.6,160.25,-9.35,-0.0,Wednesday,1,17100_PE,186.56,84.8,60,1,0,0,1664344740,True,0,GAP_DOWN,5,16961.7,1.0,0.3,0.13,0.1,0.22,-0.1252,0.179,0.97,0.91,0.47,0.4559,0.0141,0.6,0.31,1.6244,0.3642,-38.29999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,16357.267499999456,136.31056249999546,12.058106540138402,0.3,0.15,4.706722347029458,6.556052629954209,20.76865804877483,40.29546195630891,[1664344740],"[[0, 0, 0, 0]]",30,17100,PE,ITM_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 11:29:00
2022-09-28,NIFTY_17200_PE,OPTION_CHEAP_BUY,SIG_22,1,1,1664344920,1664348520,236.85,235.75,-1.1,-0.0,Wednesday,1,17200_PE,260.535,118.425,60,1,0,0,1664344920,True,0,GAP_DOWN,5,16979.6,0.67,0.3,0.19,0.14,0.33,-0.0978,0.1074,0.98,0.93,0.48,0.4744,0.0056,0.61,0.34,1.7407,0.3875,-20.400000000001455,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,16357.267499999456,136.31056249999546,12.058106540138402,0.3,0.15,4.706722347029458,6.556052629954209,20.76865804877483,40.29546195630891,[1664344920],"[[0, 0, 0, 0]]",30,17200,PE,ITM_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 11:32:00
2022-09-28,NIFTY_17200_PE,OPTION_CHEAP_BUY,SIG_23,1,1,1664345280,1664348880,235.0,227.7,-7.3,-0.0,Wednesday,1,17200_PE,258.5,117.5,60,1,0,0,1664345280,True,0,GAP_DOWN,5,16978.85,0.67,0.3,0.16,0.12,0.28,-0.0836,0.068,0.99,0.95,0.49,0.4931,-0.0031,0.63,0.36,1.7592,0.4036,-21.150000000001455,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,16872.34749999941,140.60289583332843,12.24648611734064,0.3,0.16,4.920651672515318,6.745423437073218,22.69951207708856,42.65694126132813,[1664345280],"[[0, 0, 0, 0]]",30,17200,PE,ITM_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 11:38:00
2022-09-28,NIFTY_17200_PE,OPTION_CHEAP_BUY,SIG_24,1,1,1664345640,1664349240,228.75,244.5,15.75,-0.0,Wednesday,1,17200_PE,251.62500000000003,114.375,60,1,0,0,1664345640,True,0,GAP_DOWN,5,16990.9,0.67,0.3,0.19,0.13,0.35,-0.0815,0.0631,0.99,0.95,0.51,0.5083,0.0017,0.64,0.38,1.7731,0.4193,-9.099999999998545,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0.42,0.28,0.3,-1,0.85,0.23,0.18,0.59,0.91,-1,0.0,-0.17,1,1,1,1,1,17331.75374999936,144.43128124999467,12.412092222237458,0.3,0.18,5.199311722167979,6.838444191077512,25.34328973525628,43.84154901982666,[1664345640],"[[0, 0, 0, 0]]",30,17200,PE,ITM_2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-28 11:44:00
